-- Logs begin at Thu 2023-09-28 15:29:55 UTC, end at Fri 2023-09-29 06:23:45 UTC. --
Sep 29 06:12:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 06:12:38 ubuntu dstat.sh[108377]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 06:12:38 ubuntu dstat.sh[108377]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 06:15:56 ubuntu dstat.sh[108377]: 29-09 06:15:56| 23   3  73   0   0|1257M  386M  199M 5864M|  10k 1620 |   0   360k|   0  31.0 |1203  1606 |1.96 1.63 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:15:57 ubuntu dstat.sh[108377]: 29-09 06:15:57| 22   4  74   0   1|1297M  346M  199M 5864M|  11k 1458 |   0     0 |   0     0 |1029  1151 |1.96 1.63 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:15:58 ubuntu dstat.sh[108377]: 29-09 06:15:58| 23   4  74   0   0|1235M  408M  199M 5864M|9968  1621 |   0    12k|   0  1.00 | 962  1089 |1.96 1.63 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:15:59 ubuntu dstat.sh[108377]: 29-09 06:15:59| 23   3  73   1   0|1285M  358M  199M 5864M|  11k 1619 |4094B   64k|1.00  5.00 | 961  1151 |1.89 1.61 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:16:00 ubuntu dstat.sh[108377]: 29-09 06:16:00| 23   3  74   0   0|1225M  417M  199M 5864M|  11k 1723 |   0    24k|   0  1.00 | 968  1142 |1.89 1.61 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:16:01 ubuntu dstat.sh[108377]: 29-09 06:16:01| 23   3  74   0   0|1280M  363M  199M 5864M|  10k 1664 |   0    68k|   0  2.00 |1019  1191 |1.89 1.61 1.00|1.0   0   0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:16:02 ubuntu dstat.sh[108377]: 29-09 06:16:02| 22   3  74   0   0|1213M  429M  199M 5864M|8881  1619 |   0    88k|   0  1.00 | 974  1106 |1.89 1.61 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    5    0
Sep 29 06:16:03 ubuntu dstat.sh[108377]: 29-09 06:16:03| 22   3  74   0   0|1213M  430M  199M 5864M|  12k 1620 |   0    12k|   0  1.00 |1047  1140 |1.89 1.61 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    5    0
Sep 29 06:16:04 ubuntu dstat.sh[108377]: 29-09 06:16:04| 23   3  74   0   0|1271M  372M  199M 5864M|  12k 1620 |   0    16k|   0  1.00 |1055  1120 |1.82 1.60 1.00|1.0   0 3.0|   0     0 |   0     0 |  9   34    0    5    0
Sep 29 06:16:05 ubuntu dstat.sh[108377]: 29-09 06:16:05| 22   3  74   0   0|1299M  344M  199M 5864M|  11k 1714 |   0    20k|   0  1.00 |1046  1151 |1.82 1.60 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    5    0
Sep 29 06:16:06 ubuntu dstat.sh[108377]: 29-09 06:16:06| 24   3  73   1   0|1257M  385M  199M 5864M|  11k 1459 |   0   404k|   0  31.0 |1262  1622 |1.82 1.60 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    4    0
Sep 29 06:16:07 ubuntu dstat.sh[108377]: 29-09 06:16:07| 23   3  74   0   0|1233M  410M  199M 5864M|  12k 1620 |   0    16k|   0  1.00 |1107  1211 |1.82 1.60 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    4    0
Sep 29 06:16:08 ubuntu dstat.sh[108377]: 29-09 06:16:08| 23   4  74   0   0|1286M  357M  199M 5864M|  12k 1621 |   0     0 |   0     0 |1021  1143 |1.82 1.60 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    4    0
Sep 29 06:16:09 ubuntu dstat.sh[108377]: 29-09 06:16:09| 21   6  74   0   0|1201M  442M  199M 5864M|  19k 1620 |   0    32k|   0  2.00 |1200  1412 |1.75 1.59 1.00|1.0   0  36|   0     0 |   0     0 |  9   34    0    4    0
Sep 29 06:16:10 ubuntu dstat.sh[108377]: 29-09 06:16:10| 10  19  69   0   0|1200M  443M  199M 5864M|  11k 1619 |   0    96k|   0  8.00 |2562  3731 |1.75 1.59 1.00|1.0   0 345|   0     0 |   0     0 |  9   34    0    4    0
Sep 29 06:16:11 ubuntu dstat.sh[108377]: 29-09 06:16:11| 22   3  74   0   0|1259M  384M  199M 5864M|  11k 1619 |   0    84k|   0  2.00 |1041  1164 |1.75 1.59 1.00|1.0   0 8.0|   0     0 |   0     0 |  9   34    0    4    0
Sep 29 06:16:12 ubuntu dstat.sh[108377]: 29-09 06:16:12| 22   4  74   0   0|1213M  429M  199M 5865M|  12k 1623 |   0     0 |   0     0 |1062  1219 |1.75 1.59 1.00|1.0   0 9.0|   0     0 |   0     0 |  9   34    0    3    0
Sep 29 06:16:13 ubuntu dstat.sh[108377]: 29-09 06:16:13| 22   3  74   0   0|1279M  364M  199M 5865M|9804  1619 |   0     0 |   0     0 |1034  1194 |1.75 1.59 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    3    0
Sep 29 06:16:14 ubuntu dstat.sh[108377]: 29-09 06:16:14| 16  13  68   1   0|1202M  441M  199M 5865M|  11k 1620 |8190B  796k|2.00  79.0 |2206  3003 |1.69 1.58 1.00|2.0   0 243|   0     0 |   0     0 |  9   34    0    3    0
Sep 29 06:16:15 ubuntu dstat.sh[108377]: 29-09 06:16:15| 11  20  70   0   0|1201M  441M  199M 5865M|  11k 1724 |   0   144k|   0  6.00 |2743  4166 |1.69 1.58 1.00|1.0   0 377|   0     0 |   0     0 |  9   34    0    3    0
Sep 29 06:16:16 ubuntu dstat.sh[108377]: 29-09 06:16:16|  9  21  69   0   0|1201M  441M  199M 5865M|  11k 1511 |   0   204k|   0  4.00 |2709  4145 |1.69 1.58 1.00|1.0   0 389|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:17 ubuntu dstat.sh[108377]: 29-09 06:16:17|  9  20  69   0   0|1201M  441M  199M 5865M|  12k 1567 |   0   793k|   0  12.0 |2708  4052 |1.69 1.58 1.00|1.0   0 385|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:18 ubuntu dstat.sh[108377]: 29-09 06:16:18|  9  21  69   0   0|1201M  442M  199M 5865M|8810  1619 |   0   900k|   0  10.0 |2668  3963 |1.69 1.58 1.00|1.0   0 374|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:19 ubuntu dstat.sh[108377]: 29-09 06:16:19|  9  22  69   0   0|1201M  441M  199M 5865M|  11k 1724 |   0   920k|   0  10.0 |2753  4060 |1.55 1.56 0.99|2.0   0 396|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:20 ubuntu dstat.sh[108377]: 29-09 06:16:20|  9  20  70   0   0|1201M  442M  199M 5865M|  11k 1619 |   0   828k|   0  9.00 |2682  4043 |1.55 1.56 0.99|1.0   0 377|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:21 ubuntu dstat.sh[108377]: 29-09 06:16:21| 11  19  71   0   0|1201M  441M  199M 5865M|  11k 1621 |   0   144k|   0  6.00 |2688  4201 |1.55 1.56 0.99|1.0   0 377|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:22 ubuntu dstat.sh[108377]: 29-09 06:16:22|  9  20  70   0   1|1201M  441M  199M 5865M|  19k 1620 |   0   372k|   0  9.00 |2697  4156 |1.55 1.56 0.99|1.0   0 383|   0     0 |   0     0 |  9   34    0    1    0
Sep 29 06:16:23 ubuntu dstat.sh[108377]: 29-09 06:16:23| 26  25  49   0   0|1248M  395M  199M 5865M|  23k   13k|   0   689k|   0  43.0 |3127  5433 |1.55 1.56 0.99|3.0   0 518|   0     0 |   0     0 |  9   34    0    3    0
Sep 29 06:16:24 ubuntu dstat.sh[108377]: 29-09 06:16:24| 69  25   5   0   0|1349M  292M  199M 5865M|  35k   25k| 452k  628k|11.0  43.0 |2784  5954 |1.75 1.60 1.01|4.0   0 592|   0     0 |   0     0 |  9   34    0    7    0
Sep 29 06:16:25 ubuntu dstat.sh[108377]: 29-09 06:16:25| 75  18   0   5   0|1484M  141M  199M 5880M|  15k 6796 |2259k   13M|46.0   125 |2459  3498 |1.75 1.60 1.01|4.0   0 114|   0     0 |   0     0 |  9   36    0    7    0
Sep 29 06:16:26 ubuntu dstat.sh[108377]: 29-09 06:16:26| 49  12  24  13   0|1522M  129M  198M 5855M|  41k   30k| 132k   18M|3.00   980 |6277    10k|1.75 1.60 1.01|1.0 1.0  42|   0     0 |   0     0 |  9   40    0    8    0
Sep 29 06:16:27 ubuntu dstat.sh[108377]: 29-09 06:16:27| 30   8  41  21   0|1504M  145M  199M 5858M|  20k   12k| 224k   16M|3.00  1128 |6878    12k|1.75 1.60 1.01|2.0 1.0  54|   0     0 |   0     0 |  9   40    0    8    0
Sep 29 06:16:28 ubuntu dstat.sh[108377]: 29-09 06:16:28| 30   8  37  24   0|1506M  140M  199M 5860M|  17k 7522 |   0    18M|   0  1191 |7997    14k|1.75 1.60 1.01|1.0 1.0  27|   0     0 |   0     0 |  9   40    0    8    0
Sep 29 06:16:29 ubuntu dstat.sh[108377]: 29-09 06:16:29| 34   7  33  24   0|1519M  125M  199M 5861M|  40k   31k|   0    15M|   0  1007 |7051    12k|2.09 1.67 1.04|6.0   0  26|   0     0 |   0     0 |  9   40    0    8    0
Sep 29 06:16:30 ubuntu dstat.sh[108377]: 29-09 06:16:30| 30   8  34  27   1|1513M  130M  199M 5863M|  16k 8632 |   0    20M|   0  1428 |8132    14k|2.09 1.67 1.04|2.0 2.0  23|   0     0 |   0     0 |  9   40    0    8    0
Sep 29 06:16:31 ubuntu dstat.sh[108377]: 29-09 06:16:31| 41  10  35  13   0|1468M  172M  199M 5865M|  18k 8837 |   0    14M|   0  1044 |6690    12k|2.09 1.67 1.04|2.0 4.0  81|   0     0 |   0     0 |  9   38    0    8    0
Sep 29 06:16:32 ubuntu dstat.sh[108377]: 29-09 06:16:32| 48  11  17  23   0|1473M  164M  200M 5867M|  30k   20k|   0    28M|   0  1837 |9289    16k|2.09 1.67 1.04|2.0 1.0  73|   0     0 |   0     0 |  9   39    0    8    0
Sep 29 06:16:33 ubuntu dstat.sh[108377]: 29-09 06:16:33| 31   5  48  15   0|1415M  220M  200M 5869M| 321k  310k|   0    11M|   0   846 |7962    15k|2.09 1.67 1.04|3.0 2.0  33|   0     0 |   0     0 |  9   38    0    8    0
Sep 29 06:16:34 ubuntu dstat.sh[108377]: 29-09 06:16:34| 27   9  37  27   0|1451M  182M  200M 5871M|  17k 8299 |   0    24M|   0  1598 |8284    15k|2.40 1.74 1.06|4.0 1.0  76|   0     0 |   0     0 |  9   38    0    8    0
Sep 29 06:16:35 ubuntu dstat.sh[108377]: 29-09 06:16:35| 33   5  40  22   0|1473M  157M  200M 5873M| 173k  155k|   0  9818k|   0   751 |6663    12k|2.40 1.74 1.06|4.0 1.0  18|   0     0 |   0     0 |  9   39    0    8    0
Sep 29 06:16:36 ubuntu dstat.sh[108377]: 29-09 06:16:36| 29   6  41  20   0|1473M  155M  200M 5875M| 475k  463k|   0    24M|   0  1654 |9775    19k|2.40 1.74 1.06|2.0 3.0 9.0|   0     0 |   0     0 |  9   41    0    9    0
Sep 29 06:16:37 ubuntu dstat.sh[108377]: 29-09 06:16:37| 31   6  42  20   1|1416M  210M  200M 5877M| 412k  402k|   0    17M|   0  1283 |9248    17k|2.40 1.74 1.06|1.0 1.0 5.0|   0     0 |   0     0 |  9   40    0   12    0
Sep 29 06:16:38 ubuntu dstat.sh[108377]: 29-09 06:16:38| 38  11  32  18   0|1463M  161M  200M 5879M|  39k   30k|   0    22M|   0  1777 |9961    21k|2.40 1.74 1.06|4.0   0  78|   0     0 |   0     0 |  9   42    0   13    0
Sep 29 06:16:39 ubuntu dstat.sh[108377]: 29-09 06:16:39| 39   6  33  19   0|1482M  140M  200M 5882M| 222k  213k|   0    17M|   0  1203 |8697    15k|2.45 1.77 1.07|2.0 1.0  15|   0     0 |   0     0 |  9   43    0   13    0
Sep 29 06:16:40 ubuntu dstat.sh[108377]: 29-09 06:16:40| 36  15  27  22   0|1403M  217M  201M 5884M| 487k  477k| 436k   21M|7.00  1424 |  12k   21k|2.45 1.77 1.07|1.0  14 294|   0     0 |   0     0 |  9   39    0   15    0
Sep 29 06:16:41 ubuntu dstat.sh[108377]: 29-09 06:16:41| 42  17  26  12   0|1418M  198M  201M 5886M| 446k  436k| 336k   14M|5.00  1078 |  11k   19k|2.45 1.77 1.07|2.0 2.0  78|   0     0 |   0     0 |  9   39    0   17    0
Sep 29 06:16:42 ubuntu dstat.sh[108377]: 29-09 06:16:42| 36  14  32  18   0|1394M  220M  201M 5888M|  77k   68k|1312k   19M|21.0  1326 |8954    16k|2.45 1.77 1.07|2.0 1.0 195|   0     0 |   0     0 |  9   38    0   17    0
Sep 29 06:16:43 ubuntu dstat.sh[108377]: 29-09 06:16:43| 29   7  41  21   0|1415M  196M  201M 5890M| 146k  137k|   0    20M|   0  1468 |7323    15k|2.45 1.77 1.07|2.0 1.0  45|   0     0 |   0     0 |  9   39    0   17    0
Sep 29 06:16:44 ubuntu dstat.sh[108377]: 29-09 06:16:44| 27   5  46  19   0|1415M  194M  201M 5892M| 413k  402k|   0    11M|   0   917 |7235    15k|2.74 1.84 1.10|1.0 1.0 5.0|   0     0 |   0     0 |  9   39    0   18    0
Sep 29 06:16:45 ubuntu dstat.sh[108377]: 29-09 06:16:45| 31   5  43  21   0|1414M  193M  201M 5894M| 486k  468k|   0    15M|   0  1217 |9521    17k|2.74 1.84 1.10|1.0 2.0 6.0|   0     0 |   0     0 |  9   38    0   19    0
Sep 29 06:16:46 ubuntu dstat.sh[108377]: 29-09 06:16:46| 31   7  39  22   0|1382M  223M  202M 5895M|  20k   10k|   0    21M|   0  1537 |7063    14k|2.74 1.84 1.10|1.0 1.0  44|   0     0 |   0     0 |  9   38    0   19    0
Sep 29 06:16:47 ubuntu dstat.sh[108377]: 29-09 06:16:47| 34   5  43  16   0|1398M  205M  202M 5897M| 268k  259k|   0    14M|   0  1008 |6799    14k|2.74 1.84 1.10|1.0 1.0   0|   0     0 |   0     0 |  9   39    0   19    0
Sep 29 06:16:48 ubuntu dstat.sh[108377]: 29-09 06:16:48| 34   7  43  17   0|1400M  202M  202M 5899M| 605k  587k|   0    17M|   0  1304 |  10k   20k|2.74 1.84 1.10|3.0   0 3.0|   0     0 |   0     0 |  9   39    0   19    0
Sep 29 06:16:49 ubuntu dstat.sh[108377]: 29-09 06:16:49| 25   8  44  20   0|1345M  255M  202M 5901M| 335k  319k|   0    20M|   0  1436 |8035    17k|2.60 1.82 1.10|2.0 1.0  65|   0     0 |   0     0 |  9   38    0   19    0
Sep 29 06:16:50 ubuntu dstat.sh[108377]: 29-09 06:16:50| 32   7  45  15   0|1394M  204M  202M 5902M|  24k   12k|   0    10M|   0   996 |5967    12k|2.60 1.82 1.10|5.0   0 7.0|   0     0 |   0     0 |  9   38    0   19    0
Sep 29 06:16:51 ubuntu dstat.sh[108377]: 29-09 06:16:51| 33   5  44  18   0|1403M  196M  202M 5901M| 321k  311k|   0    23M|   0  1913 |9164    20k|2.60 1.82 1.10|4.0   0 3.0|   0     0 |   0     0 |  9   39    0   20    0
Sep 29 06:16:52 ubuntu dstat.sh[108377]: 29-09 06:16:52| 35   6  42  17   0|1380M  219M  202M 5901M|  22k   10k|   0    14M|   0  1181 |6360    13k|2.60 1.82 1.10|1.0 1.0  45|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:16:53 ubuntu dstat.sh[108377]: 29-09 06:16:53| 33   4  41  18   0|1402M  196M  202M 5902M| 158k  148k|   0    17M|   0  1311 |6989    14k|2.60 1.82 1.10|1.0 1.0  12|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:16:54 ubuntu dstat.sh[108377]: 29-09 06:16:54| 29   8  43  19   0|1382M  215M  202M 5902M|  13k 3751 |   0    20M|   0  1575 |8234    14k|2.55 1.82 1.11|1.0 1.0  79|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:16:55 ubuntu dstat.sh[108377]: 29-09 06:16:55| 33   5  43  17   0|1403M  193M  202M 5903M| 193k  184k|   0    13M|   0  1059 |7568    14k|2.55 1.82 1.11|3.0   0  12|   0     0 |   0     0 |  9   39    0   20    0
Sep 29 06:16:56 ubuntu dstat.sh[108377]: 29-09 06:16:56| 30   7  46  15   0|1365M  232M  202M 5903M| 227k  219k|   0    21M|   0  1650 |9652    18k|2.55 1.82 1.11|1.0 1.0  45|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:16:57 ubuntu dstat.sh[108377]: 29-09 06:16:57| 33   5  41  20   0|1404M  192M  203M 5904M|  20k 8881 |   0    26M|   0  1828 |6709    13k|2.55 1.82 1.11|2.0 1.0 6.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:16:58 ubuntu dstat.sh[108377]: 29-09 06:16:58| 36   5  40  18   0|1347M  248M  203M 5905M| 340k  329k|   0    12M|   0   971 |7266    15k|2.55 1.82 1.11|2.0   0  27|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:16:59 ubuntu dstat.sh[108377]: 29-09 06:16:59| 16   3  61  17   0|1345M  249M  203M 5905M|  14k 4144 |   0    10M|   0   798 |5405    10k|2.50 1.83 1.11|  0 1.0  60|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:00 ubuntu dstat.sh[108377]: 29-09 06:17:00| 12   4  62  20   0|1345M  248M  203M 5906M|  14k 5285 |   0    18M|   0  1323 |7272    13k|2.50 1.83 1.11|1.0   0  12|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:01 ubuntu dstat.sh[108377]: 29-09 06:17:01| 11   3  67  18   0|1346M  247M  203M 5907M|  17k 6024 |  64k 6554k|3.00   687 |5734    10k|2.50 1.83 1.11|1.0   0  18|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:02 ubuntu dstat.sh[108377]: 29-09 06:17:02| 10   5  62  23   0|1346M  246M  203M 5907M|  27k 9542 |   0    18M|   0  1280 |7118    12k|2.50 1.83 1.11|  0 1.0 6.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:03 ubuntu dstat.sh[108377]: 29-09 06:17:03| 11   3  68  16   0|1345M  246M  203M 5908M|  21k   12k|   0  8791k|   0   848 |6334    11k|2.50 1.83 1.11|1.0 1.0  12|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:04 ubuntu dstat.sh[108377]: 29-09 06:17:04|  9   4  62  22   0|1345M  245M  203M 5909M|  20k 8411 |   0    20M|   0  1511 |8442    15k|2.54 1.85 1.12|  0 1.0 8.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:05 ubuntu dstat.sh[108377]: 29-09 06:17:05| 10   5  61  22   0|1345M  244M  203M 5910M|  25k   15k|   0    21M|   0  1527 |8556    14k|2.54 1.85 1.12|1.0   0  18|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:06 ubuntu dstat.sh[108377]: 29-09 06:17:06| 10   3  66  19   0|1344M  243M  203M 5911M|  18k 8938 |   0    13M|   0  1098 |7049    12k|2.54 1.85 1.12|  0 1.0  12|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:07 ubuntu dstat.sh[108377]: 29-09 06:17:07|  8   3  65  22   0|1345M  242M  203M 5912M|  22k   10k|   0    15M|   0  1178 |7172    12k|2.54 1.85 1.12|1.0 1.0 9.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:08 ubuntu dstat.sh[108377]: 29-09 06:17:08| 10   3  63  22   0|1345M  241M  203M 5913M|  21k   11k|   0    16M|   0  1318 |7668    13k|2.54 1.85 1.12|  0 1.0 3.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:09 ubuntu dstat.sh[108377]: 29-09 06:17:09|  8   3  64  22   0|1345M  240M  203M 5914M|  16k 7947 |   0    18M|   0  1377 |7997    13k|2.42 1.83 1.12|1.0 1.0  12|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:10 ubuntu dstat.sh[108377]: 29-09 06:17:10|  9   3  65  20   1|1345M  239M  203M 5914M|  20k   12k|   0    11M|   0  1029 |7087    12k|2.42 1.83 1.12|  0 1.0  42|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:11 ubuntu dstat.sh[108377]: 29-09 06:17:11|  9   5  62  22   0|1345M  238M  203M 5915M|  23k   13k|   0    15M|   0  1194 |7373    12k|2.42 1.83 1.12|2.0   0  15|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:12 ubuntu dstat.sh[108377]: 29-09 06:17:12|  9   3  59  25   0|1345M  237M  203M 5916M|  23k 6208 |   0    20M|   0  1434 |8390    14k|2.42 1.83 1.12|4.0   0  18|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:13 ubuntu dstat.sh[108377]: 29-09 06:17:13|  9   3  66  19   0|1346M  236M  203M 5916M|  20k   10k|   0  6228k|   0   766 |5887  9860 |2.42 1.83 1.12|2.0   0  12|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:14 ubuntu dstat.sh[108377]: 29-09 06:17:14| 10   5  60  24   1|1346M  235M  203M 5917M|  18k 7184 |   0    18M|   0  1338 |7899    13k|2.39 1.84 1.12|  0 1.0 8.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:15 ubuntu dstat.sh[108377]: 29-09 06:17:15| 10   4  66  18   0|1348M  233M  204M 5918M|  19k 9685 |   0  9237k|   0   790 |5922    10k|2.39 1.84 1.12|  0 1.0 9.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:16 ubuntu dstat.sh[108377]: 29-09 06:17:16| 14   4  62  19   0|1348M  232M  204M 5918M|  35k   25k|   0    17M|   0  1291 |7763    13k|2.39 1.84 1.12|1.0   0 6.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:17 ubuntu dstat.sh[108377]: 29-09 06:17:17| 12   3  62  21   0|1348M  231M  204M 5919M|  20k   11k|   0    14M|   0  1098 |7272    12k|2.39 1.84 1.12|1.0   0 9.0|   0     0 |   0     0 |  9   38    0   20    0
Sep 29 06:17:18 ubuntu dstat.sh[108377]: 29-09 06:17:18| 18   2  67  11   0|1346M  233M  204M 5919M|  18k 5818 |   0    15M|   0  1095 |5451  9231 |2.39 1.84 1.12|1.0   0 6.0|   0     0 |   0     0 |  9   36    0   21    0
Sep 29 06:17:19 ubuntu dstat.sh[108377]: 29-09 06:17:19| 11  19  69   0   0|1233M  346M  204M 5919M|  12k 1711 |   0  1240k|   0  70.0 |2710  3881 |2.28 1.82 1.12|1.0   0 371|   0     0 |   0     0 |  9   34    0   21    0
Sep 29 06:17:20 ubuntu dstat.sh[108377]: 29-09 06:17:20| 11  19  69   0   0|1230M  349M  204M 5919M|  12k 1723 |   0  1111k|   0  69.9 |3013  4375 |2.28 1.82 1.12|1.0   0 385|   0     0 |   0     0 |  9   34    0   21    0
Sep 29 06:17:21 ubuntu dstat.sh[108377]: 29-09 06:17:21| 52  17  31   1   0|1342M  236M  204M 5919M|  49k   37k|   0  3994k|   0   239 |3094  4680 |2.28 1.82 1.12|3.0   0 270|   0     0 |   0     0 |  9   34    0   27    0
Sep 29 06:17:22 ubuntu dstat.sh[108377]: 29-09 06:17:22| 64  12  24   0   0|1472M  127M  202M 5901M|  11k 1619 |   0   444k|   0  17.0 |1627  1553 |2.28 1.82 1.12|3.0   0 3.0|   0     0 |   0     0 |  9   34    0   27    0
Sep 29 06:17:23 ubuntu dstat.sh[108377]: 29-09 06:17:23| 49  10  29  13   0|1559M  156M  199M 5792M|  11k 1618 |1726k 5805k|43.9   276 |2216  1967 |2.28 1.82 1.12|  0 3.0   0|   0     0 |   0     0 |  9   34    0   27    0
Sep 29 06:17:24 ubuntu dstat.sh[108377]: 29-09 06:17:24| 25   4  45  24   0|1572M  136M  199M 5799M|  36k   25k|5589k 5325k| 111   316 |3370  5277 |2.41 1.86 1.14|4.0 1.0  11|   0     0 |   0     0 |  9   40    0   23    0
Sep 29 06:17:25 ubuntu dstat.sh[108377]: 29-09 06:17:25| 15   4  51  30   0|1571M  134M  199M 5801M|  18k 7823 |   0    12M|   0   840 |6333    11k|2.41 1.86 1.14|1.0 2.0  48|   0     0 |   0     0 |  9   40    0   23    0
Sep 29 06:17:26 ubuntu dstat.sh[108377]: 29-09 06:17:26| 12   3  52  29   0|1571M  132M  199M 5803M|  17k 7352 |   0    15M|   0  1036 |6763    12k|2.41 1.86 1.14|  0 3.0  30|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:27 ubuntu dstat.sh[108377]: 29-09 06:17:27| 10   4  49  35   0|1571M  130M  199M 5805M|  20k 9334 |   0    16M|   0  1010 |6550    13k|2.41 1.86 1.14|1.0 2.0  21|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:28 ubuntu dstat.sh[108377]: 29-09 06:17:28| 10   5  51  32   0|1570M  128M  199M 5808M|  18k 9154 |1041k   17M|49.0  1182 |6778    13k|2.41 1.86 1.14|  0 2.0  39|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:29 ubuntu dstat.sh[108377]: 29-09 06:17:29| 14   4  53  28   0|1571M  126M  199M 5809M|  18k 7573 |   0    17M|   0  1257 |7584    14k|2.46 1.88 1.15|1.0 2.0  39|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:30 ubuntu dstat.sh[108377]: 29-09 06:17:30| 10   4  52  31   0|1571M  125M  199M 5811M|  21k 9030 |   0    17M|   0  1216 |8197    16k|2.46 1.88 1.15|  0 1.0  30|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:31 ubuntu dstat.sh[108377]: 29-09 06:17:31| 12   5  53  30   0|1571M  123M  199M 5812M|  20k 9179 |   0    18M|   0  1163 |7197    13k|2.46 1.88 1.15|  0 3.0  33|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:32 ubuntu dstat.sh[108377]: 29-09 06:17:32| 10   3  52  32   0|1571M  121M  199M 5814M|  26k 8385 |   0    15M|   0  1039 |6499    12k|2.46 1.88 1.15|1.0 2.0  18|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:33 ubuntu dstat.sh[108377]: 29-09 06:17:33| 12   4  53  30   1|1575M  132M  199M 5800M|  18k 8630 |   0    17M|   0  1220 |7831    13k|2.46 1.88 1.15|  0 2.0  39|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:34 ubuntu dstat.sh[108377]: 29-09 06:17:34| 10   4  54  29   0|1574M  130M  199M 5802M|  16k 6595 |   0    17M|   0  1163 |8640    15k|2.58 1.91 1.16|  0 2.0  41|   0     0 |   0     0 |  9   40    0   20    0
Sep 29 06:17:35 ubuntu dstat.sh[108377]: 29-09 06:17:35|  9   4  52  32   0|1574M  129M  199M 5803M|  17k 7346 |   0    16M|   0  1082 |6608    12k|2.58 1.91 1.16|  0 2.0  39|   0     0 |   0     0 |  9   40    0   20    0
