-- Logs begin at Mon 2022-12-12 19:29:47 UTC, end at Wed 2022-12-14 10:41:50 UTC. --
Dec 14 10:01:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 14 10:01:48 ubuntu dstat.sh[83142]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 14 10:01:48 ubuntu dstat.sh[83142]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 14 10:18:05 ubuntu dstat.sh[83142]: 14-12 10:18:05| 46  16  35   1   0|5874M  359M  159M 1505M|1953k  838k| 196k 1578k|       145 |6856    12k|1.33 1.35 1.24|3.0   0  86|   0     0 |   0     0 | 25  402    0   55    1
Dec 14 10:18:06 ubuntu dstat.sh[83142]: 14-12 10:18:06| 27   3  68   0   0|5873M  359M  159M 1505M| 410k  392k|   0  1133k|   0   140 |3962  6457 |1.30 1.34 1.24|1.0   0 2.0|   0     0 |   0     0 | 25  402    0   55    2
Dec 14 10:18:07 ubuntu dstat.sh[83142]: 14-12 10:18:07| 19   3  75   1   0|5873M  359M  159M 1505M| 401k  386k|   0  1189k|   0   148 |3830  6721 |1.30 1.34 1.24|  0   0   0|   0     0 |   0     0 | 25  401    0   55    1
Dec 14 10:18:08 ubuntu dstat.sh[83142]: 14-12 10:18:08| 18   3  79   1   0|5874M  358M  159M 1506M| 296k  286k|  56k  652k|7.00  57.0 |2935  4989 |1.30 1.34 1.24|1.0   0 2.0|   0     0 |   0     0 | 25  401    0   55    1
Dec 14 10:18:09 ubuntu dstat.sh[83142]: 14-12 10:18:09| 17   6  75   1   1|5871M  360M  159M 1506M| 179k  166k|   0   818k|   0   104 |3158  5121 |1.30 1.34 1.24|3.0   0 4.0|   0     0 |   0     0 | 25  403    0   55    1
Dec 14 10:18:10 ubuntu dstat.sh[83142]: 14-12 10:18:10| 29   3  65   0   0|5871M  359M  160M 1507M| 535k  528k|   0   807k|   0  85.8 |3461  5625 |1.30 1.34 1.24|2.0   0 1.0|   0     0 |   0     0 | 25  403    0   57    1
Dec 14 10:18:11 ubuntu dstat.sh[83142]: 14-12 10:18:11| 34   4  60   1   0|5865M  367M  160M 1506M| 470k  464k|   0  1477k|   0   197 |3894  6683 |1.36 1.36 1.24|1.0   0 1.0|   0     0 |   0     0 | 25  405    0   58    1
Dec 14 10:18:12 ubuntu dstat.sh[83142]: 14-12 10:18:12| 29   5  64   2   0|5864M  366M  160M 1507M| 525k  519k|  48k 1641k|1.00   217 |5021  9517 |1.36 1.36 1.24|2.0 3.0   0|   0     0 |   0     0 | 25  404    0   62    1
Dec 14 10:18:13 ubuntu dstat.sh[83142]: 14-12 10:18:13| 30   3  64   2   0|5864M  366M  160M 1507M| 508k  501k|  88k 1814k|3.99   245 |4779  8837 |1.36 1.36 1.24|  0 1.0   0|   0     0 |   0     0 | 25  405    0   59    1
Dec 14 10:18:14 ubuntu dstat.sh[83142]: 14-12 10:18:14| 28   3  64   2   0|5864M  366M  160M 1507M| 574k  567k|   0  1656k|   0   239 |4593  7885 |1.36 1.36 1.24|  0 1.0   0|   0     0 |   0     0 | 25  405    0   61    1
Dec 14 10:18:15 ubuntu dstat.sh[83142]: 14-12 10:18:15| 29   3  66   1   1|5864M  366M  160M 1507M| 431k  426k|   0  1092k|   0   129 |3507  5963 |1.36 1.36 1.24|2.0   0   0|   0     0 |   0     0 | 25  405    0   60    1
Dec 14 10:18:16 ubuntu dstat.sh[83142]: 14-12 10:18:16| 32   2  63   1   0|5864M  365M  160M 1507M| 651k  646k|   0  1264k|   0   159 |3956  6710 |1.49 1.38 1.25|1.0 1.0   0|   0     0 |   0     0 | 25  405    0   60    1
Dec 14 10:18:17 ubuntu dstat.sh[83142]: 14-12 10:18:17| 31   3  65   0   0|5864M  365M  161M 1507M| 547k  539k|   0   699k|   0  72.9 |3442  5747 |1.49 1.38 1.25|2.0   0   0|   0     0 |   0     0 | 25  404    0   57    1
Dec 14 10:18:18 ubuntu dstat.sh[83142]: 14-12 10:18:18| 49   5  44   2   0|5868M  360M  161M 1508M|1199k 1186k|4105B 2934k|1.00   425 |6923    12k|1.49 1.38 1.25|4.0 1.0 2.0|   0     0 |   0     0 | 25  403    0   61    1
Dec 14 10:18:19 ubuntu dstat.sh[83142]: 14-12 10:18:19| 62  13  24   2   0|5873M  354M  161M 1509M|1435k 1428k|   0  3415k|   0   412 |7042    12k|1.49 1.38 1.25|3.0 1.0  27|   0     0 |   0     0 | 25  405    0   61    1
Dec 14 10:18:20 ubuntu dstat.sh[83142]: 14-12 10:18:20| 56   5  37   0   0|5874M  352M  162M 1509M|1091k 1086k|   0  1736k|   0   209 |5329  9326 |1.49 1.38 1.25|6.0   0 6.0|   0     0 |   0     0 | 25  404    0   61    3
Dec 14 10:18:21 ubuntu dstat.sh[83142]: 14-12 10:18:21| 66   7  26   1   0|5884M  341M  162M 1510M| 847k  841k| 152k 2305k|15.0   251 |5206  8785 |1.61 1.41 1.26|2.0   0  24|   0     0 |   0     0 | 25  403    0   54    3
Dec 14 10:18:22 ubuntu dstat.sh[83142]: 14-12 10:18:22| 56  15  28   0   0|5890M  334M  162M 1510M| 588k  581k|  64k 1168k|3.00  95.0 |4669  8112 |1.61 1.41 1.26|1.0 1.0  71|   0     0 |   0     0 | 25  403    0   55    3
Dec 14 10:18:23 ubuntu dstat.sh[83142]: 14-12 10:18:23| 48  23  25   1   0|5918M  304M  162M 1513M| 408k  401k|1734k  932k|70.0  78.0 |7706    13k|1.61 1.41 1.26|7.0   0  49|   0     0 |   0     0 | 27  403    0   54    3
Dec 14 10:18:24 ubuntu dstat.sh[83142]: 14-12 10:18:24| 59  14  19   7   0|5946M  276M  162M 1513M| 938k  932k|  17M   15M| 675  1512 |  11k   21k|1.61 1.41 1.26|5.0   0   0|   0     0 |   0     0 | 27  403    0   55    3
Dec 14 10:18:25 ubuntu dstat.sh[83142]: 14-12 10:18:25| 64   5  27   3   0|6045M  177M  162M 1512M| 435k  428k|  21M  517k| 711  42.8 |8222    14k|1.61 1.41 1.26|4.0   0   0|   0     0 |   0     0 | 27  404    0   56    3
Dec 14 10:18:26 ubuntu dstat.sh[83142]: 14-12 10:18:26| 71   7  20   1   0|6016M  238M  161M 1484M| 788k  774k|  60k 1397k|3.00   160 |5276  8806 |2.36 1.57 1.31| 24   0  26|   0     0 |   0     0 | 26  403    0   57    3
Dec 14 10:18:27 ubuntu dstat.sh[83142]: 14-12 10:18:27| 51   9  38   1   0|6044M  208M  161M 1484M| 252k  247k|   0  1267k|   0  83.2 |4326  7455 |2.36 1.57 1.31|4.0   0  31|   0     0 |   0     0 | 26  403    0   58    3
Dec 14 10:18:28 ubuntu dstat.sh[83142]: 14-12 10:18:28| 59   6  34   0   0|6057M  196M  161M 1484M| 220k  214k|  48k 1088k|4.00  83.0 |3681  5933 |2.36 1.57 1.31| 13   0  31|   0     0 |   0     0 | 26  403    0   58    3
Dec 14 10:18:29 ubuntu dstat.sh[83142]: 14-12 10:18:29| 52  10  35   2   1|6064M  185M  162M 1487M| 291k  285k|2417k 1204k| 114  95.0 |6371    12k|2.36 1.57 1.31|3.0   0  11|   0     0 |   0     0 | 27  405    0   58    3
Dec 14 10:18:30 ubuntu dstat.sh[83142]: 14-12 10:18:30| 57   7  33   1   0|6088M  161M  162M 1487M| 367k  360k|  15M 1121k| 544  98.1 |9395    18k|2.36 1.57 1.31|6.0   0 1.0|   0     0 |   0     0 | 27  409    0   58    3
Dec 14 10:18:31 ubuntu dstat.sh[83142]: 14-12 10:18:31| 63   5  31   2   0|6149M  145M  150M 1455M| 369k  361k|4724k 1608k| 163   209 |7547    10k|2.33 1.58 1.32|4.0   0   0|   0     0 |   0     0 | 27  407    0   60    3
Dec 14 10:18:32 ubuntu dstat.sh[83142]: 14-12 10:18:32| 67   4  27   0   0|6164M  130M  150M 1455M| 492k  485k|  16k  896k|4.00  96.0 |4375  7208 |2.33 1.58 1.32|4.0   0   0|   0     0 |   0     0 | 27  407    0   60    3
Dec 14 10:18:33 ubuntu dstat.sh[83142]: 14-12 10:18:33| 69  14  14   1   0|6051M  243M  150M 1456M| 729k  722k|  88k 1946k|7.01   166 |6450    11k|2.33 1.58 1.32|4.0 1.0  51|   0     0 |   0     0 | 26  407    0   64    3
Dec 14 10:18:34 ubuntu dstat.sh[83142]: 14-12 10:18:34| 60   6  32   1   0|6055M  238M  150M 1456M| 365k  351k|  56k 1707k|7.00   154 |4554  7612 |2.33 1.58 1.32|5.0   0  21|   0     0 |   0     0 | 26  408    0   64    3
Dec 14 10:18:35 ubuntu dstat.sh[83142]: 14-12 10:18:35| 56  13  29   1   0|6072M  219M  150M 1458M| 341k  336k|1184k 1398k| 113  97.9 |5600    11k|2.33 1.58 1.32|2.0   0  25|   0     0 |   0     0 | 27  407    0   64    3
Dec 14 10:18:36 ubuntu dstat.sh[83142]: 14-12 10:18:36| 53   8  33   4   0|6091M  200M  150M 1458M| 310k  305k|  14M  988k| 520  94.0 |7007    15k|2.31 1.58 1.32|4.0   0   0|   0     0 |   0     0 | 27  407    0   64    3
Dec 14 10:18:37 ubuntu dstat.sh[83142]: 14-12 10:18:37| 70   3  25   1   1|6156M  135M  150M 1458M| 499k  492k|5451k  817k| 181  72.1 |5702  8483 |2.31 1.58 1.32|4.0   0   0|   0     0 |   0     0 | 27  407    0   64    3
Dec 14 10:18:38 ubuntu dstat.sh[83142]: 14-12 10:18:38| 70  11  16   0   0|6072M  219M  150M 1458M| 509k  504k| 108k 1088k|15.0  84.0 |5189  8984 |2.31 1.58 1.32|6.0 1.0  46|   0     0 |   0     0 | 26  408    0   64    3
Dec 14 10:18:39 ubuntu dstat.sh[83142]: 14-12 10:18:39| 73   8  17   0   0|6098M  192M  150M 1459M| 601k  595k| 802k 1458k|92.9   152 |8119    11k|2.31 1.58 1.32|6.0 1.0  37|   0     0 |   0     0 | 26  407    0   64    3
Dec 14 10:18:40 ubuntu dstat.sh[83142]: 14-12 10:18:40| 50  14  33   2   0|6086M  203M  150M 1460M| 237k  231k| 546k 4754k|78.1   106 |7354    12k|2.31 1.58 1.32|2.0 1.0  17|   0     0 |   0     0 | 27  407    0   59    3
Dec 14 10:18:41 ubuntu dstat.sh[83142]: 14-12 10:18:41| 63   6  21   7   0|6114M  175M  150M 1460M| 499k  489k|  14M   15M| 545   367 |9934    17k|2.52 1.64 1.34|2.0   0  52|   0     0 |   0     0 | 27  409    0   60    3
Dec 14 10:18:42 ubuntu dstat.sh[83142]: 14-12 10:18:42| 61   8  28   2   0|6017M  272M  150M 1460M| 432k  424k|5149k   10M| 177   311 |9634    12k|2.52 1.64 1.34|5.0   0  18|   0     0 |   0     0 | 26  408    0   57    3
Dec 14 10:18:43 ubuntu dstat.sh[83142]: 14-12 10:18:43| 58   5  35   0   0|6026M  263M  150M 1459M| 705k  700k|   0  1400k|   0   153 |5876  9195 |2.52 1.64 1.34|6.0   0  19|   0     0 |   0     0 | 26  409    0   57    3
Dec 14 10:18:44 ubuntu dstat.sh[83142]: 14-12 10:18:44| 30   4  62   1   0|6056M  233M  150M 1460M| 114k  107k|   0   932k|   0   113 |3822  7775 |2.52 1.64 1.34|1.0   0   0|   0     0 |   0     0 | 26  408    0   51    3
Dec 14 10:18:45 ubuntu dstat.sh[83142]: 14-12 10:18:45| 39   7  51   1   0|5917M  371M  150M 1460M| 564k  556k|   0  1384k|   0   148 |5464  9148 |2.52 1.64 1.34|1.0   0  39|   0     0 |   0     0 | 25  408    0   52    3
Dec 14 10:18:46 ubuntu dstat.sh[83142]: 14-12 10:18:46| 32   8  56   1   0|5915M  373M  150M 1460M| 654k  646k|  36k 1962k|3.99   267 |6258    14k|2.32 1.61 1.33|1.0   0  34|   0     0 |   0     0 | 25  408    0   49    3
Dec 14 10:18:47 ubuntu dstat.sh[83142]: 14-12 10:18:47| 17   2  80   0   0|5915M  373M  150M 1460M| 264k  259k|   0   372k|   0  30.0 |2626  4249 |2.32 1.61 1.33|2.0   0   0|   0     0 |   0     0 | 25  410    0   49    3
Dec 14 10:18:48 ubuntu dstat.sh[83142]: 14-12 10:18:48| 28   4  64   1   0|5916M  372M  150M 1460M| 400k  392k|   0   745k|   0  87.1 |3237  5120 |2.32 1.61 1.33|1.0   0 3.0|   0     0 |   0     0 | 25  410    0   48    3
Dec 14 10:18:49 ubuntu dstat.sh[83142]: 14-12 10:18:49| 31   5  63   1   1|5896M  392M  151M 1460M| 453k  447k|   0  1246k|   0   167 |4237  6851 |2.32 1.61 1.33|8.0   0   0|   0     0 |   0     0 | 25  411    0   50    3
Dec 14 10:18:50 ubuntu dstat.sh[83142]: 14-12 10:18:50| 28   4  65   1   0|5896M  392M  151M 1460M| 555k  549k|   0  1418k|   0   195 |5615    10k|2.32 1.61 1.33|1.0 1.0   0|   0     0 |   0     0 | 25  409    0   52    3
Dec 14 10:18:51 ubuntu dstat.sh[83142]: 14-12 10:18:51| 31   3  61   3   0|5895M  392M  151M 1461M| 531k  523k| 140k 2014k|15.9   293 |5395  9167 |2.21 1.60 1.33|1.0   0   0|   0     0 |   0     0 | 25  410    0   53    3
Dec 14 10:18:52 ubuntu dstat.sh[83142]: 14-12 10:18:52| 30   3  65   1   0|5895M  392M  151M 1461M| 600k  584k|   0  1309k|   0   182 |4088  6944 |2.21 1.60 1.33|1.0   0   0|   0     0 |   0     0 | 25  410    0   56    3
Dec 14 10:18:53 ubuntu dstat.sh[83142]: 14-12 10:18:53| 29   2  65   1   0|5895M  392M  151M 1461M| 538k  529k|  56k  938k|4.99   129 |3934  6489 |2.21 1.60 1.33|1.0   0   0|   0     0 |   0     0 | 25  410    0   56    3
Dec 14 10:18:54 ubuntu dstat.sh[83142]: 14-12 10:18:54| 33   3  62   1   0|5895M  390M  151M 1462M| 658k  649k|  92k 1065k|3.00   134 |3693  6414 |2.21 1.60 1.33|3.0   0   0|   0     0 |   0     0 | 25  409    0   53    3
Dec 14 10:18:55 ubuntu dstat.sh[83142]: 14-12 10:18:55| 28   3  63   4   0|5897M  388M  151M 1462M| 592k  585k|   0    11M|   0  1094 |5659  8517 |2.21 1.60 1.33|2.0   0   0|   0     0 |   0     0 | 25  408    0   56    3
Dec 14 10:18:56 ubuntu dstat.sh[83142]: 14-12 10:18:56| 39   6  51   2   1|5902M  383M  151M 1462M| 785k  778k|   0  2224k|   0   280 |5781  9711 |2.28 1.63 1.34|5.0   0  13|   0     0 |   0     0 | 25  408    0   57    3
Dec 14 10:18:57 ubuntu dstat.sh[83142]: 14-12 10:18:57| 35   3  58   1   0|5901M  384M  151M 1463M| 577k  570k|   0  1222k|   0   147 |4336  7208 |2.28 1.63 1.34|3.0   0 2.0|   0     0 |   0     0 | 25  409    0   57    3
Dec 14 10:18:58 ubuntu dstat.sh[83142]: 14-12 10:18:58| 38   4  58   1   0|5906M  378M  152M 1463M| 569k  562k|   0   763k|   0  67.3 |3732  6147 |2.28 1.63 1.34|3.0 1.0 8.0|   0     0 |   0     0 | 25  408    0   57    3
Dec 14 10:18:59 ubuntu dstat.sh[83142]: 14-12 10:18:59| 38   9  51   0   0|5910M  374M  152M 1463M| 327k  319k|   0   695k|   0  50.0 |3151  4852 |2.28 1.63 1.34|3.0   0  28|   0     0 |   0     0 | 25  408    0   58    3
Dec 14 10:19:00 ubuntu dstat.sh[83142]: 14-12 10:19:00| 38  20  40   1   0|5922M  361M  152M 1464M| 404k  391k| 290k  902k|36.9  67.8 |6403    10k|2.28 1.63 1.34|1.0   0  40|   0     0 |   0     0 | 26  408    0   59    3
Dec 14 10:19:01 ubuntu dstat.sh[83142]: 14-12 10:19:01| 38   8  48   4   0|5945M  337M  152M 1464M| 566k  561k|  14M 4703k| 535   319 |8838    14k|2.33 1.65 1.35|3.0 1.0   0|   0     0 |   0     0 | 26  409    0   63    3
Dec 14 10:19:02 ubuntu dstat.sh[83142]: 14-12 10:19:02| 54   5  40   1   0|6011M  271M  152M 1464M| 723k  718k|4916k 1666k| 159   234 |6424    11k|2.33 1.65 1.35|4.0 1.0   0|   0     0 |   0     0 | 26  410    0   65    3
Dec 14 10:19:03 ubuntu dstat.sh[83142]: 14-12 10:19:03| 60   8  30   1   0|6030M  251M  152M 1465M| 787k  778k|   0  2352k|   0   247 |5410  9928 |2.33 1.65 1.35|4.0 1.0  15|   0     0 |   0     0 | 26  409    0   65    3
Dec 14 10:19:04 ubuntu dstat.sh[83142]: 14-12 10:19:04| 55   5  38   1   0|6043M  239M  152M 1464M| 618k  613k|  60k 1210k|3.00   129 |4816  8658 |2.33 1.65 1.35|3.0   0 4.0|   0     0 |   0     0 | 26  409    0   65    3
Dec 14 10:19:05 ubuntu dstat.sh[83142]: 14-12 10:19:05| 56   4  40   0   0|6056M  225M  152M 1465M| 391k  376k|   0   656k|   0  52.0 |4388  7849 |2.33 1.65 1.35|7.0   0 6.0|   0     0 |   0     0 | 26  410    0   65    3
Dec 14 10:19:06 ubuntu dstat.sh[83142]: 14-12 10:19:06| 55   7  38   0   0|6062M  219M  152M 1465M|  88k   82k|   0  1158k|   0  90.2 |3988  6645 |2.55 1.71 1.37|5.0 1.0  30|   0     0 |   0     0 | 26  409    0   65    3
Dec 14 10:19:07 ubuntu dstat.sh[83142]: 14-12 10:19:07| 55  11  28   4   0|6069M  210M  152M 1467M| 350k  344k|1544k  875k|77.9  83.9 |7756    13k|2.55 1.71 1.37|3.0   0  12|   0     0 |   0     0 | 27  409    0   65    3
Dec 14 10:19:08 ubuntu dstat.sh[83142]: 14-12 10:19:08| 56   8  31   3   0|6083M  195M  152M 1467M| 420k  413k|  16M  942k| 592   104 |8412    16k|2.55 1.71 1.37|2.0 1.0 2.0|   0     0 |   0     0 | 27  409    0   66    3
Dec 14 10:19:09 ubuntu dstat.sh[83142]: 14-12 10:19:09| 65   9  26   1   0|6068M  213M  152M 1466M| 507k  501k|3098k 1032k| 105   114 |7601  9863 |2.55 1.71 1.37|3.0   0  26|   0     0 |   0     0 | 26  409    0   68    3
Dec 14 10:19:10 ubuntu dstat.sh[83142]: 14-12 10:19:10| 73  13  13   0   0|6086M  194M  152M 1467M| 977k  970k| 260k 1919k|13.0   221 |7401    11k|2.55 1.71 1.37|4.0 1.0  33|   0     0 |   0     0 | 26  410    0   68    3
Dec 14 10:19:11 ubuntu dstat.sh[83142]: 14-12 10:19:11| 39   9  52   1   0|6101M  179M  152M 1466M| 244k  237k| 502k 1593k|85.1   159 |7369  9452 |2.55 1.71 1.37|4.0   0 2.0|   0     0 |   0     0 | 26  411    0   67    3
Dec 14 10:19:12 ubuntu dstat.sh[83142]: 14-12 10:19:12| 52   7  40   2   0|6105M  174M  152M 1467M| 431k  424k| 539k   10M|34.9   326 |7070  9759 |2.50 1.71 1.37|8.0   0 8.0|   0     0 |   0     0 | 26  409    0   71    3
Dec 14 10:19:13 ubuntu dstat.sh[83142]: 14-12 10:19:13| 44   7  51   3   0|6071M  209M  152M 1467M| 378k  372k|  92k   13M|3.01   209 |5100  8105 |2.50 1.71 1.37|3.0 1.0  16|   0     0 |   0     0 | 26  410    0   66    3
Dec 14 10:19:14 ubuntu dstat.sh[83142]: 14-12 10:19:14| 38   6  53   2   0|6069M  210M  152M 1467M| 298k  292k| 287k 6931k|37.9   304 |5527  9639 |2.50 1.71 1.37|3.0   0 6.0|   0     0 |   0     0 | 26  409    0   67    3
Dec 14 10:19:15 ubuntu dstat.sh[83142]: 14-12 10:19:15| 41   3  56   1   0|6069M  210M  152M 1467M| 307k  299k|  96k  608k|11.0  59.0 |4371  6449 |2.50 1.71 1.37|3.0   0   0|   0     0 |   0     0 | 26  409    0   67    3
Dec 14 10:19:16 ubuntu dstat.sh[83142]: 14-12 10:19:16| 39   6  58   1   0|6069M  209M  152M 1468M| 239k  217k|  74k 1317k|10.0   155 |4461  8226 |2.50 1.71 1.37|6.0   0   0|   0     0 |   0     0 | 26  409    0   68    3
Dec 14 10:19:17 ubuntu dstat.sh[83142]: 14-12 10:19:17| 36   6  60   0   0|6069M  209M  152M 1468M| 190k  163k| 552k  708k|33.0  81.0 |4138  7539 |2.62 1.75 1.39|2.0   0   0|   0     0 |   0     0 | 26  410    0   67    3
Dec 14 10:19:18 ubuntu dstat.sh[83142]: 14-12 10:19:18| 55   9  35   1   0|5925M  352M  152M 1468M|1095k 1080k|  13k 2046k|3.00   228 |6612    12k|2.62 1.75 1.39|3.0   0  50|   0     0 |   0     0 | 25  409    0   68    3
Dec 14 10:19:19 ubuntu dstat.sh[83142]: 14-12 10:19:19| 22   3  72   2   0|5925M  352M  152M 1469M| 482k  468k| 192k 1439k|14.0   200 |4599  7771 |2.62 1.75 1.39|3.0   0   0|   0     0 |   0     0 | 25  409    0   60    3
Dec 14 10:19:20 ubuntu dstat.sh[83142]: 14-12 10:19:20| 20   2  76   0   0|5925M  352M  152M 1469M| 373k  364k|   0   373k|   0  24.1 |2659  4286 |2.62 1.75 1.39|2.0   0   0|   0     0 |   0     0 | 25  411    0   60    3
Dec 14 10:19:21 ubuntu dstat.sh[83142]: 14-12 10:19:21| 28   4  64   0   0|5915M  362M  152M 1469M| 430k  419k|   0   947k|   0   121 |3562  5776 |2.62 1.75 1.39|2.0   0 1.0|   0     0 |   0     0 | 25  411    0   62    2
Dec 14 10:19:22 ubuntu dstat.sh[83142]: 14-12 10:19:22| 31   3  63   1   0|5915M  361M  153M 1469M| 561k  553k|   0  1700k|   0   238 |4934  8401 |2.65 1.77 1.40|6.0   0   0|   0     0 |   0     0 | 25  411    0   67    2
Dec 14 10:19:23 ubuntu dstat.sh[83142]: 14-12 10:19:23| 30   5  64   1   0|5914M  361M  153M 1470M| 598k  592k|4104B 1274k|1.00   169 |5368    10k|2.65 1.77 1.40|2.0 1.0   0|   0     0 |   0     0 | 25  411    0   68    2
Dec 14 10:19:24 ubuntu dstat.sh[83142]: 14-12 10:19:24| 18   5  74   2   0|5914M  361M  153M 1470M| 394k  385k|   0  1278k|   0   169 |4712  9868 |2.65 1.77 1.40|  0   0   0|   0     0 |   0     0 | 25  409    0   69    2
Dec 14 10:19:25 ubuntu dstat.sh[83142]: 14-12 10:19:25| 21   3  72   1   0|5913M  361M  153M 1471M| 498k  492k|  48k 1440k|7.00   220 |4601  7841 |2.65 1.77 1.40|  0   0   0|   0     0 |   0     0 | 25  409    0   69    2
Dec 14 10:19:26 ubuntu dstat.sh[83142]: 14-12 10:19:26| 11   2  78   7   0|5914M  360M  153M 1471M| 203k  191k| 116k   12M|6.02  1227 |4501  5682 |2.65 1.77 1.40|1.0   0   0|   0     0 |   0     0 | 25  410    0   69    2
Dec 14 10:19:27 ubuntu dstat.sh[83142]: 14-12 10:19:27|  8   2  87   1   0|5914M  360M  153M 1471M|  82k   69k|   0   770k|   0   101 |3195  5253 |2.60 1.77 1.40|1.0   0   0|   0     0 |   0     0 | 25  410    0   65    2
Dec 14 10:19:28 ubuntu dstat.sh[83142]: 14-12 10:19:28| 31   5  60   2   0|5915M  358M  153M 1471M| 558k  550k|   0  1291k|   0   176 |5640    10k|2.60 1.77 1.40|1.0 1.0 2.0|   0     0 |   0     0 | 25  410    0   69    2
Dec 14 10:19:29 ubuntu dstat.sh[83142]: 14-12 10:19:29| 30   3  63   2   0|5917M  356M  154M 1472M| 636k  628k|   0  1474k|   0   199 |5548  9946 |2.60 1.77 1.40|2.0   0 1.0|   0     0 |   0     0 | 25  409    0   71    2
Dec 14 10:19:30 ubuntu dstat.sh[83142]: 14-12 10:19:30|  5   2  89   1   0|5917M  355M  154M 1472M|  68k   53k|   0   670k|   0  72.8 |2718  4694 |2.60 1.77 1.40|1.0   0   0|   0     0 |   0     0 | 25  410    0   71    2
Dec 14 10:19:31 ubuntu dstat.sh[83142]: 14-12 10:19:31| 17   4  78   2   0|5918M  355M  154M 1472M| 303k  288k|   0  1082k|   0   145 |3747  6308 |2.60 1.77 1.40|1.0   0   0|   0     0 |   0     0 | 25  409    0   71    2
Dec 14 10:19:32 ubuntu dstat.sh[83142]: 14-12 10:19:32| 23   3  71   1   0|5918M  354M  154M 1472M| 440k  434k|   0  3409k|   0   348 |4596  8196 |2.39 1.74 1.39|  0 1.0   0|   0     0 |   0     0 | 25  411    0   72    2
Dec 14 10:19:33 ubuntu dstat.sh[83142]: 14-12 10:19:33| 29   3  64   2   0|5918M  353M  154M 1473M| 509k  504k|   0  1131k|   0   144 |5082  9571 |2.39 1.74 1.39|1.0 1.0   0|   0     0 |   0     0 | 25  410    0   69    2
Dec 14 10:19:34 ubuntu dstat.sh[83142]: 14-12 10:19:34| 15   4  79   2   0|5919M  352M  154M 1473M| 241k  235k|   0  1685k|   0   247 |4299  7315 |2.39 1.74 1.39|1.0   0   0|   0     0 |   0     0 | 25  409    0   70    2
Dec 14 10:19:35 ubuntu dstat.sh[83142]: 14-12 10:19:35| 16   4  76   1   0|5919M  352M  154M 1473M| 354k  347k|   0  1252k|   0   169 |4107  6568 |2.39 1.74 1.39|  0   0   0|   0     0 |   0     0 | 25  409    0   71    2
Dec 14 10:19:36 ubuntu dstat.sh[83142]: 14-12 10:19:36| 15   3  80   1   0|5920M  351M  154M 1473M| 255k  249k|   0   972k|   0   126 |3465  5943 |2.39 1.74 1.39|1.0   0   0|   0     0 |   0     0 | 25  409    0   72    2
Dec 14 10:19:37 ubuntu dstat.sh[83142]: 14-12 10:19:37|  9   1  87   1   0|5920M  351M  154M 1474M| 168k  145k|   0   883k|   0   103 |3021  5153 |2.28 1.73 1.39|5.0   0   0|   0     0 |   0     0 | 25  410    0   72    2
Dec 14 10:19:38 ubuntu dstat.sh[83142]: 14-12 10:19:38| 28   3  68   0   0|5923M  347M  154M 1474M| 544k  534k|4093B  639k|1.00  57.0 |3572  5828 |2.28 1.73 1.39|  0 1.0 3.0|   0     0 |   0     0 | 25  409    0   74    2
Dec 14 10:19:39 ubuntu dstat.sh[83142]: 14-12 10:19:39|  9   2  85   2   0|5923M  346M  154M 1474M| 153k  140k|   0   872k|   0   104 |3090  5210 |2.28 1.73 1.39|3.0   0   0|   0     0 |   0     0 | 25  410    0   75    2
Dec 14 10:19:40 ubuntu dstat.sh[83142]: 14-12 10:19:40| 14   4  78   3   0|5921M  348M  154M 1474M| 109k   95k| 360k  933k|25.0   108 |3405  5328 |2.28 1.73 1.39|2.0   0   0|   0     0 |   0     0 | 25  409    0   75    2
Dec 14 10:19:41 ubuntu dstat.sh[83142]: 14-12 10:19:41| 13   2  82   1   0|5921M  348M  154M 1475M| 220k  204k|   0  1061k|   0   141 |3590  6016 |2.28 1.73 1.39|2.0   0   0|   0     0 |   0     0 | 25  409    0   75    2
Dec 14 10:19:42 ubuntu dstat.sh[83142]: 14-12 10:19:42| 23   4  70   2   0|5921M  347M  154M 1475M| 474k  468k|   0  1401k|   0   185 |4515  8485 |2.10 1.70 1.38|1.0   0   0|   0     0 |   0     0 | 25  410    0   80    2
Dec 14 10:19:43 ubuntu dstat.sh[83142]: 14-12 10:19:43| 28   5  65   1   0|5922M  346M  154M 1476M| 523k  517k|  68k  950k|8.02   107 |5225  9862 |2.10 1.70 1.38|1.0   0   0|   0     0 |   0     0 | 25  410    0   82    2
Dec 14 10:19:44 ubuntu dstat.sh[83142]: 14-12 10:19:44| 28   4  64   2   0|5922M  345M  155M 1476M| 578k  571k|   0  1714k|   0   257 |5566    11k|2.10 1.70 1.38|  0 1.0   0|   0     0 |   0     0 | 25  410    0   84    2
