-- Logs begin at Sat 2023-08-05 00:30:40 UTC, end at Sat 2023-08-05 02:02:27 UTC. --
Aug 05 01:25:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 05 01:25:59 ubuntu dstat.sh[106609]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 05 01:25:59 ubuntu dstat.sh[106609]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 05 01:52:51 ubuntu dstat.sh[106609]: 05-08 01:52:51| 28  12  51   7   0|5945M  958M  149M  846M|4066k   18M|3370k 1044M| 167   388 |  14k   10k|1.47 1.59 1.54|2.0   0  52|   0     0 |   0     0 | 25  428    0  100    3
Aug 05 01:52:52 ubuntu dstat.sh[106609]: 05-08 01:52:52| 24   8  69   1   0|5942M  961M  149M  846M|  87k   70k|   0   665k|           |3996  8262 |1.47 1.59 1.54|1.0   0  58|   0     0 |   0     0 | 25  428    0  103    3
Aug 05 01:52:53 ubuntu dstat.sh[106609]: 05-08 01:52:53| 20   6  69   3   0|5930M  989M  149M  830M| 333k  323k|   0  5546k|   0   440 |5793    10k|1.35 1.56 1.53|1.0   0  11|   0     0 |   0     0 | 25  425    0  104    3
Aug 05 01:52:54 ubuntu dstat.sh[106609]: 05-08 01:52:54| 17   4  78   1   1|5921M  998M  149M  831M| 103k   78k|   0   829k|   0  65.1 |3229  4703 |1.35 1.56 1.53|  0   0   0|   0     0 |   0     0 | 25  426    0  104    3
Aug 05 01:52:55 ubuntu dstat.sh[106609]: 05-08 01:52:55|  6   2  90   0   0|5921M  998M  149M  831M|  50k   37k|   0   627k|   0  24.0 |2235  3465 |1.35 1.56 1.53|  0   0 4.0|   0     0 |   0     0 | 25  425    0  100    3
Aug 05 01:52:56 ubuntu dstat.sh[106609]: 05-08 01:52:56|  6   3  90   1   0|5916M 1002M  149M  831M|  30k   20k|   0   416k|   0  22.0 |2207  3577 |1.35 1.56 1.53|1.0   0 8.0|   0     0 |   0     0 | 25  426    0  100    3
Aug 05 01:52:57 ubuntu dstat.sh[106609]: 05-08 01:52:57| 10   8  78   2   0|5918M 1000M  149M  831M|2509k   91k|   0   702k| 114  65.8 |5516  7318 |1.35 1.56 1.53|  0   0  71|   0     0 |   0     0 | 25  427    0   91    3
Aug 05 01:52:58 ubuntu dstat.sh[106609]: 05-08 01:52:58| 18   5  77   0   0|5919M  999M  149M  831M|  28k   18k|   0   422k|   0  30.1 |2052  2991 |1.33 1.55 1.53|2.0   0 4.0|   0     0 |   0     0 | 25  428    0   91    3
Aug 05 01:52:59 ubuntu dstat.sh[106609]: 05-08 01:52:59| 17   6  63  11   0|5968M  898M  200M  831M|  56M 1074k|  51M  865k|46.1  92.2 |  25k 5579 |1.33 1.55 1.53|2.0   0   0|   0     0 |   0     0 | 25  430    0   94    3
Aug 05 01:53:00 ubuntu dstat.sh[106609]: 05-08 01:53:00| 27   1  70   0   0|5982M  885M  200M  831M|  25k   16k|   0   364k|   0  20.0 |1990  2988 |1.33 1.55 1.53|1.0   0   0|   0     0 |   0     0 | 25  430    0   94    3
Aug 05 01:53:01 ubuntu dstat.sh[106609]: 05-08 01:53:01| 19   6  62   8   0|5980M  821M  250M  846M|  86M   33M|  50M   15M|42.9  44.9 |  28k 3856 |1.33 1.55 1.53|1.0 1.0   0|   0     0 |   0     0 | 25  430    0   97    3
Aug 05 01:53:02 ubuntu dstat.sh[106609]: 05-08 01:53:02| 24   4  64   7   0|6001M  763M  286M  846M|  38M  874k|  35M  428k|31.0  45.0 |  21k 4041 |1.33 1.55 1.53|1.0   0   0|   0     0 |   0     0 | 25  430    0   99    3
Aug 05 01:53:03 ubuntu dstat.sh[106609]: 05-08 01:53:03| 26   2  67   2   0|5965M  786M  300M  846M|  16M  242k|  15M  587k|15.0  53.9 |5481  4242 |1.38 1.56 1.53|1.0   0 2.0|   0     0 |   0     0 | 25  430    0   99    3
Aug 05 01:53:04 ubuntu dstat.sh[106609]: 05-08 01:53:04| 23   5  61   8   0|5964M  736M  350M  846M|  55M 1292k|  50M  477k|40.1  49.1 |  32k 3737 |1.38 1.56 1.53|1.0   0   0|   0     0 |   0     0 | 25  430    0   99    3
Aug 05 01:53:05 ubuntu dstat.sh[106609]: 05-08 01:53:05| 21   3  63   8   0|5965M  686M  400M  846M|  54M 1037k|  50M  312k|42.9  23.0 |  22k 3427 |1.38 1.56 1.53|2.0   0   0|   0     0 |   0     0 | 25  430    0   99    3
Aug 05 01:53:06 ubuntu dstat.sh[106609]: 05-08 01:53:06| 20   4  64   9   0|5965M  636M  450M  846M|  54M  925k|  50M  344k|43.0  36.0 |  22k 3990 |1.38 1.56 1.53|1.0   0   0|   0     0 |   0     0 | 25  430    0  101    3
Aug 05 01:53:07 ubuntu dstat.sh[106609]: 05-08 01:53:07| 27   4  62   6   0|5995M  571M  484M  846M|  35M  781k|  31M 1264k|53.0   221 |  21k 5975 |1.38 1.56 1.53|  0 1.0   0|   0     0 |   0     0 | 25  430    0  103    3
Aug 05 01:53:08 ubuntu dstat.sh[106609]: 05-08 01:53:08| 24   3  68   2   0|5970M  572M  508M  846M|  25M  433k|  24M  335k|22.0  21.0 |9260  3329 |1.51 1.58 1.54|  0 1.0   0|   0     0 |   0     0 | 25  430    0  101    3
Aug 05 01:53:09 ubuntu dstat.sh[106609]: 05-08 01:53:09| 22   4  66   8   0|5964M  536M  550M  846M|  48M  900k|  45M  409k|39.1  37.1 |  20k 3963 |1.51 1.58 1.54|3.0   0   0|   0     0 |   0     0 | 25  434    0  101    3
Aug 05 01:53:10 ubuntu dstat.sh[106609]: 05-08 01:53:10| 20   3  63  11   0|5965M  485M  600M  847M|  54M  826k|  50M 5973k|39.9   539 |  21k 3454 |1.51 1.58 1.54|1.0   0   0|   0     0 |   0     0 | 25  430    0  100    3
Aug 05 01:53:11 ubuntu dstat.sh[106609]: 05-08 01:53:11| 22   4  62  10   0|5966M  433M  650M  847M|  55M 1122k|  50M  273k|42.1  19.0 |  23k 3797 |1.51 1.58 1.54|1.0   0   0|   0     0 |   0     0 | 25  431    0  102    3
Aug 05 01:53:12 ubuntu dstat.sh[106609]: 05-08 01:53:12| 27   2  66   3   0|5982M  399M  669M  847M|  18M  485k|  16M  436k|16.0  43.0 |9703  4125 |1.51 1.58 1.54|  0 1.0   0|   0     0 |   0     0 | 25  430    0  102    3
Aug 05 01:53:13 ubuntu dstat.sh[106609]: 05-08 01:53:13| 24   3  64   6   0|5964M  385M  700M  847M|  37M  693k|  34M  532k|27.0  54.0 |  16k 4414 |1.47 1.57 1.54|1.0   0 2.0|   0     0 |   0     0 | 25  430    0  102    3
Aug 05 01:53:14 ubuntu dstat.sh[106609]: 05-08 01:53:14| 21   5  63   8   0|5965M  335M  750M  847M|  54M  986k|  50M  464k|43.0  37.0 |  21k 3948 |1.47 1.57 1.54|3.0   0   0|   0     0 |   0     0 | 25  430    0   96    3
Aug 05 01:53:15 ubuntu dstat.sh[106609]: 05-08 01:53:15| 21   3  65   8   0|5966M  282M  800M  847M|  55M 1153k|  50M  861k|43.1   129 |  24k 3359 |1.47 1.57 1.54|2.0   0   0|   0     0 |   0     0 | 25  430    0   98    3
Aug 05 01:53:16 ubuntu dstat.sh[106609]: 05-08 01:53:16| 25   3  63   6   0|5999M  213M  836M  847M|  37M  936k|  33M  217k|29.5  18.7 |  22k 3400 |1.47 1.57 1.54|1.0 1.0   0|   0     0 |   0     0 | 25  430    0  100    3
Aug 05 01:53:17 ubuntu dstat.sh[106609]: 05-08 01:53:17| 28   3  64   3   0|5970M  222M  856M  847M|  22M  570k|  20M  574k|19.2  52.6 |  11k 4244 |1.47 1.57 1.54|  0 1.0   0|   0     0 |   0     0 | 25  430    0  102    3
Aug 05 01:53:18 ubuntu dstat.sh[106609]: 05-08 01:53:18| 22   3  66   8   0|5965M  184M  900M  847M|  50M 1109k|  46M  960k|40.2  43.2 |  31k 3518 |1.43 1.56 1.53|1.0   0   0|   0     0 |   0     0 | 25  432    0  101    3
Aug 05 01:53:19 ubuntu dstat.sh[106609]: 05-08 01:53:19| 19   5  64   9   0|5968M  189M  913M  828M|  54M  824k|  50M  475k|40.9  42.9 |  22k 3914 |1.43 1.56 1.53|1.0   0 2.0|   0     0 |   0     0 | 25  432    0  103    3
Aug 05 01:53:20 ubuntu dstat.sh[106609]: 05-08 01:53:20| 22   2  63   9   0|5968M  177M  938M  816M|  55M 1167k|  50M  492k|45.0  42.0 |  23k 3855 |1.43 1.56 1.53|1.0   0 1.0|   0     0 |   0     0 | 25  432    0  108    3
Aug 05 01:53:21 ubuntu dstat.sh[106609]: 05-08 01:53:21| 26   4  64   5   0|5994M  128M  962M  814M|  26M  660k|  23M  926k|20.0  71.2 |  14k 3901 |1.43 1.56 1.53|1.0 1.0   0|   0     0 |   0     0 | 25  432    0  110    3
Aug 05 01:53:22 ubuntu dstat.sh[106609]: 05-08 01:53:22| 29   4  62   3   0|5966M  186M  953M  793M|  29M  638k|  27M  598k|24.9  63.8 |  23k 4503 |1.43 1.56 1.53|1.0   0   0|   0     0 |   0     0 | 25  432    0  109    3
Aug 05 01:53:23 ubuntu dstat.sh[106609]: 05-08 01:53:23| 20   6  59   9   0|5963M  181M  978M  777M|  55M 1113k|  50M 3670k|44.0   254 |  24k 5630 |1.40 1.55 1.53|1.0   0 2.0|   0     0 |   0     0 | 25  432    0  111    3
Aug 05 01:53:24 ubuntu dstat.sh[106609]: 05-08 01:53:24| 19   5  63   9   0|5964M  172M  997M  767M|  55M 1186k|  50M  544k|43.0  55.0 |  31k 4194 |1.40 1.55 1.53|1.0   0   0|   0     0 |   0     0 | 25  432    0  108    3
Aug 05 01:53:25 ubuntu dstat.sh[106609]: 05-08 01:53:25| 25   3  66   4   0|5940M  173M 1020M  767M|  25M  730k|  23M  136k|21.0  10.0 |  24k 3455 |1.40 1.55 1.53|2.0   0   0|   0     0 |   0     0 | 25  432    0  110    3
Aug 05 01:53:26 ubuntu dstat.sh[106609]: 05-08 01:53:26| 21   7  68   4   0|5932M 1056M  144M  770M|4897k 4887k| 160k 2927k|17.0  60.1 |2899  4443 |1.40 1.55 1.53|1.0   0 3.0|   0     0 |   0     0 | 25  432    0  115    3
Aug 05 01:53:27 ubuntu dstat.sh[106609]: 05-08 01:53:27| 17   7  73   2   1|5921M 1066M  144M  770M|  78k   62k|  72k  450k|      41.8 |3517  5490 |1.40 1.55 1.53|1.0   0  30|   0     0 |   0     0 | 25  433    0  116    3
Aug 05 01:53:28 ubuntu dstat.sh[106609]: 05-08 01:53:28|  9   1  88   0   0|5921M 1066M  144M  770M|  81k   66k|   0   428k|   0  42.0 |2435  3862 |1.28 1.53 1.52|  0   0   0|   0     0 |   0     0 | 25  431    0  115    3
Aug 05 01:53:29 ubuntu dstat.sh[106609]: 05-08 01:53:29| 21   3  72   3   0|5921M 1066M  144M  771M| 341k  328k|4089B 1534k|1.00   207 |4151  6982 |1.28 1.53 1.52|  0   0   0|   0     0 |   0     0 | 25  432    0  116    3
Aug 05 01:53:30 ubuntu dstat.sh[106609]: 05-08 01:53:30| 12   3  83   1   0|5921M 1066M  144M  771M| 140k  120k|  16k  645k|2.00  55.1 |3066  4794 |1.28 1.53 1.52|  0   0 7.0|   0     0 |   0     0 | 25  428    0  114    3
Aug 05 01:53:31 ubuntu dstat.sh[106609]: 05-08 01:53:31| 12   3  85   0   0|5915M 1072M  144M  771M|  90k   61k|   0   480k|   0  33.0 |2731  3928 |1.28 1.53 1.52|  0   0 4.0|   0     0 |   0     0 | 25  427    0  114    3
Aug 05 01:53:32 ubuntu dstat.sh[106609]: 05-08 01:53:32|  7   2  89   1   0|5914M 1073M  144M  771M|  35k   25k|   0   564k|   0  54.0 |2551  4101 |1.28 1.53 1.52|  0   0 8.0|   0     0 |   0     0 | 25  428    0  113    3
Aug 05 01:53:33 ubuntu dstat.sh[106609]: 05-08 01:53:33|  7   4  86   1   0|5920M 1065M  145M  771M|1150k   59k| 340k  408k|59.0  33.0 |3576  4814 |1.26 1.52 1.52|  0 1.0  24|   0     0 |   0     0 | 25  428    0  113    3
Aug 05 01:53:34 ubuntu dstat.sh[106609]: 05-08 01:53:34|  8   3  86   0   0|5924M 1063M  144M  771M|  43k   30k|  36k  435k|3.00  29.0 |2712  4391 |1.26 1.52 1.52|3.0   0  23|   0     0 |   0     0 | 25  428    0  110    3
Aug 05 01:53:35 ubuntu dstat.sh[106609]: 05-08 01:53:35| 28   7  66   0   0|5972M 1012M  146M  772M|  32M   32M|   0   317k|   0  20.1 |3629  5972 |1.26 1.52 1.52|1.0   0 2.0|   0     0 |   0     0 | 25  432    0  116    3
Aug 05 01:53:36 ubuntu dstat.sh[106609]: 05-08 01:53:36| 16   6  67   7   0|5969M  978M  181M  772M|1001k   39M|   0    37M|   0  43.9 |7864  5316 |1.26 1.52 1.52|1.0   0   0|   0     0 |   0     0 | 25  432    0  113    3
Aug 05 01:53:37 ubuntu dstat.sh[106609]: 05-08 01:53:37| 23  12  63   3   0|5916M 1029M  183M  773M| 443k 2507k| 112k 3375k|28.1   238 |4301  6514 |1.26 1.52 1.52|5.0   0   0|   0     0 |   0     0 | 25  433    0  118    3
Aug 05 01:53:38 ubuntu dstat.sh[106609]: 05-08 01:53:38| 21  11  66   1   0|5915M 1029M  183M  773M| 366k  358k|  96k 1014k|24.0   186 |3307  5309 |1.24 1.51 1.52|1.0   0   0|   0     0 |   0     0 | 25  432    0  116    3
Aug 05 01:53:39 ubuntu dstat.sh[106609]: 05-08 01:53:39| 22   8  68   1   0|5966M  978M  183M  773M| 383k  373k|   0   417k|   0  42.1 |2724  4377 |1.24 1.51 1.52|1.0   0   0|   0     0 |   0     0 | 25  432    0  119    3
Aug 05 01:53:40 ubuntu dstat.sh[106609]: 05-08 01:53:40| 22   9  69   0   0|5964M  980M  183M  773M| 376k  365k|   0   252k|   0  17.0 |2364  3570 |1.24 1.51 1.52|6.0   0   0|   0     0 |   0     0 | 25  432    0  119    3
Aug 05 01:53:41 ubuntu dstat.sh[106609]: 05-08 01:53:41| 23   9  67   1   0|5966M  978M  183M  773M| 387k  378k|   0  6946k|   0   534 |3670  3938 |1.24 1.51 1.52|2.0   0   0|   0     0 |   0     0 | 25  432    0  122    3
Aug 05 01:53:42 ubuntu dstat.sh[106609]: 05-08 01:53:42| 25  11  63   1   0|5915M 1029M  183M  774M| 481k  472k|   0   747k|   0   103 |4586  8024 |1.24 1.51 1.52|2.0   0   0|   0     0 |   0     0 | 25  432    0  107    3
Aug 05 01:53:43 ubuntu dstat.sh[106609]: 05-08 01:53:43| 26  11  59   2   0|5922M 1062M  144M  774M|2525k  123k|  68k  851k|      91.9 |6136  8624 |1.22 1.50 1.51|2.0   0  66|   0     0 |   0     0 | 25  431    0  108    3
Aug 05 01:53:44 ubuntu dstat.sh[106609]: 05-08 01:53:44| 13   2  82   1   0|5921M 1062M  144M  774M| 145k  123k|   0   667k|   0  68.9 |3077  4626 |1.22 1.50 1.51|2.0   0   0|   0     0 |   0     0 | 25  432    0  106    3
Aug 05 01:53:45 ubuntu dstat.sh[106609]: 05-08 01:53:45| 15   3  78   3   0|5921M 1062M  144M  774M| 276k  258k|   0  5443k|   0   394 |4350  7049 |1.22 1.50 1.51|  0   0   0|   0     0 |   0     0 | 25  431    0  106    3
Aug 05 01:53:46 ubuntu dstat.sh[106609]: 05-08 01:53:46| 30   9  58   2   0|5923M 1059M  144M  775M| 263k  256k| 204k 1707k|51.1   226 |4438  8265 |1.22 1.50 1.51|2.0   0  23|   0     0 |   0     0 | 25  431    0  153    3
Aug 05 01:53:47 ubuntu dstat.sh[106609]: 05-08 01:53:47| 19   4  74   2   0|5917M 1064M  144M  776M| 271k  250k|  12k 1441k|2.99   202 |4506  7651 |1.22 1.50 1.51|  0   0   0|   0     0 |   0     0 | 25  434    0  157    3
Aug 05 01:53:48 ubuntu dstat.sh[106609]: 05-08 01:53:48| 18   3  78   2   0|5917M 1064M  144M  776M| 323k  308k|4109B 1757k|1.00   158 |3965  6531 |1.22 1.50 1.51|2.0   0   0|   0     0 |   0     0 | 25  433    0  155    3
Aug 05 01:53:49 ubuntu dstat.sh[106609]: 05-08 01:53:49|  8   0  88   0   0|5917M 1064M  144M  776M|  81k   72k|   0   530k|   0  57.8 |2461  4115 |1.20 1.49 1.51|1.0   0   0|   0     0 |   0     0 | 25  434    0  155    3
Aug 05 01:53:50 ubuntu dstat.sh[106609]: 05-08 01:53:50| 18   4  76   2   1|5917M 1064M  144M  776M| 291k  262k|  16k 1225k|4.00   147 |3940  5970 |1.20 1.49 1.51|1.0   0 7.0|   0     0 |   0     0 | 25  433    0  159    3
Aug 05 01:53:51 ubuntu dstat.sh[106609]: 05-08 01:53:51| 10   2  86   0   0|5917M 1064M  144M  776M|  89k   73k|   0  1567k|   0  82.0 |2681  3896 |1.20 1.49 1.51|  0   0 4.0|   0     0 |   0     0 | 25  431    0  157    3
Aug 05 01:53:52 ubuntu dstat.sh[106609]: 05-08 01:53:52|  8   4  86   1   0|5927M 1053M  145M  777M|  41k   31k|8200B  793k|2.00  80.1 |2739  4370 |1.20 1.49 1.51|3.0   0  10|   0     0 |   0     0 | 25  432    0  160    3
Aug 05 01:53:53 ubuntu dstat.sh[106609]: 05-08 01:53:53| 18  11  72   1   0|5936M 1044M  145M  777M|1146k   56k|   0   459k|51.9  39.9 |4946  9839 |1.20 1.49 1.51|1.0   0  81|   0     0 |   0     0 | 25  432    0  158    3
Aug 05 01:53:54 ubuntu dstat.sh[106609]: 05-08 01:53:54| 18   4  76   0   0|5948M 1032M  145M  777M|  34k   25k|   0   457k|   0  35.0 |2478  3686 |1.19 1.48 1.51|1.0   0 4.0|   0     0 |   0     0 | 25  432    0  158    3
Aug 05 01:53:55 ubuntu dstat.sh[106609]: 05-08 01:53:55| 15   4  64  10   0|5978M  951M  196M  777M|  56M 1010k|  51M  508k|43.0  46.0 |  23k 4165 |1.19 1.48 1.51|1.0   0 1.0|   0     0 |   0     0 | 25  436    0  158    3
Aug 05 01:53:56 ubuntu dstat.sh[106609]: 05-08 01:53:56| 22   4  65   7   0|6013M  879M  232M  777M|  37M  776k|  34M 1076k|30.1   140 |  16k 3672 |1.19 1.48 1.51|  0 1.0   0|   0     0 |   0     0 | 25  436    0  161    3
Aug 05 01:53:57 ubuntu dstat.sh[106609]: 05-08 01:53:57| 25   2  65   4   0|5983M  888M  253M  777M|  24M  563k|  22M  562k|21.9  49.8 |  12k 4235 |1.19 1.48 1.51|2.0   0   0|   0     0 |   0     0 | 25  436    0  163    3
Aug 05 01:53:58 ubuntu dstat.sh[106609]: 05-08 01:53:58| 23   4  65   7   0|5970M  859M  296M  777M|  48M  910k|  44M  631k|40.2  56.2 |  20k 3952 |1.19 1.48 1.51|1.0   0   0|   0     0 |   0     0 | 25  436    0  166    3
Aug 05 01:53:59 ubuntu dstat.sh[106609]: 05-08 01:53:59| 21   4  62   9   0|5970M  808M  346M  777M|  54M 1022k|  50M  475k|40.9  44.9 |  26k 3900 |1.09 1.46 1.50|1.0   0   0|   0     0 |   0     0 | 25  436    0  165    3
Aug 05 01:54:00 ubuntu dstat.sh[106609]: 05-08 01:54:00| 19   3  65   7   0|5969M  759M  396M  777M|  54M 1030k|  50M  456k|42.0  28.0 |  24k 3476 |1.09 1.46 1.50|2.0   0   0|   0     0 |   0     0 | 25  436    0  167    3
Aug 05 01:54:01 ubuntu dstat.sh[106609]: 05-08 01:54:01| 20   4  66   7   0|6013M  669M  442M  777M|  48M  917k|  44M  586k|37.1  51.2 |  21k 3688 |1.09 1.46 1.50|  0 1.0   0|   0     0 |   0     0 | 25  436    0  162    3
Aug 05 01:54:02 ubuntu dstat.sh[106609]: 05-08 01:54:02| 21   3  66   7   0|5994M  654M  476M  777M|  37M  854k|  34M  779k|30.0  51.0 |  21k 4170 |1.09 1.46 1.50|1.0 1.0   0|   0     0 |   0     0 | 25  436    0  165    3
Aug 05 01:54:03 ubuntu dstat.sh[106609]: 05-08 01:54:03| 24   4  63   5   0|5972M  648M  503M  777M|  30M  696k|  28M 4531k|25.0   303 |  17k 5398 |1.09 1.46 1.50|  0 1.0 2.0|   0     0 |   0     0 | 25  436    0  165    3
Aug 05 01:54:04 ubuntu dstat.sh[106609]: 05-08 01:54:04| 19   2  66   8   0|5967M  610M  546M  777M|  48M  799k|  45M  320k|36.0  34.0 |  22k 3739 |1.08 1.45 1.50|2.0   0   0|   0     0 |   0     0 | 25  436    0  165    3
Aug 05 01:54:05 ubuntu dstat.sh[106609]: 05-08 01:54:05| 17   4  63   9   0|5969M  558M  596M  777M|  55M 1247k|  50M  224k|40.9  23.0 |  32k 3559 |1.08 1.45 1.50|1.0   0   0|   0     0 |   0     0 | 25  436    0  163    3
Aug 05 01:54:06 ubuntu dstat.sh[106609]: 05-08 01:54:06| 19   4  66   8   0|5967M  510M  646M  777M|  54M  973k|  50M  201k|43.1  20.1 |  22k 3643 |1.08 1.45 1.50|1.0   0   0|   0     0 |   0     0 | 25  436    0  165    3
Aug 05 01:54:07 ubuntu dstat.sh[106609]: 05-08 01:54:07| 24   3  64   6   0|6004M  434M  685M  778M|  40M  839k|  36M  551k|31.0  47.9 |  17k 4436 |1.08 1.45 1.50|  0 1.0   0|   0     0 |   0     0 | 25  436    0  165    3
Aug 05 01:54:08 ubuntu dstat.sh[106609]: 05-08 01:54:08| 26   5  60   8   0|5987M  419M  716M  778M|  34M  718k|  32M 2515k| 131   607 |  18k 9560 |1.08 1.45 1.50|1.0 1.0   0|   0     0 |   0     0 | 25  436    0  168    3
Aug 05 01:54:09 ubuntu dstat.sh[106609]: 05-08 01:54:09| 22   3  65   6   0|5968M  408M  746M  778M|  35M  830k|  33M  401k|29.1  36.1 |  23k 3946 |1.08 1.44 1.49|1.0   0   0|   0     0 |   0     0 | 25  439    0  165    3
Aug 05 01:54:10 ubuntu dstat.sh[106609]: 05-08 01:54:10| 18   3  65   9   0|5969M  357M  796M  778M|  54M  835k|  50M  176k|40.0  12.0 |  22k 3394 |1.08 1.44 1.49|1.0   0   0|   0     0 |   0     0 | 25  436    0  166    3
Aug 05 01:54:11 ubuntu dstat.sh[106609]: 05-08 01:54:11| 14   3  63  14   0|6014M  266M  842M  778M|  48M 1039k|  44M  359k|38.9  28.9 |  25k 3591 |1.08 1.44 1.49|1.0 1.0   0|   0     0 |   0     0 | 25  437    0  164    3
Aug 05 01:54:12 ubuntu dstat.sh[106609]: 05-08 01:54:12|  6   2  65  25   1|6013M  266M  842M  778M|  56k   40k|   0  7613k|   0   561 |3362  3701 |1.08 1.44 1.49|  0 1.0   0|   0     0 |   0     0 | 25  436    0  164    3
Aug 05 01:54:13 ubuntu dstat.sh[106609]: 05-08 01:54:13|  6   1  70  22   0|6013M  266M  842M  778M|  32k   22k|   0   259k|   0  26.9 |2340  3578 |1.08 1.44 1.49|2.0 1.0 2.0|   0     0 |   0     0 | 25  436    0  162    3
Aug 05 01:54:14 ubuntu dstat.sh[106609]: 05-08 01:54:14|  4   2  70  23   0|6013M  266M  842M  778M|  32k   23k|   0   288k|   0  25.0 |2060  3364 |1.07 1.44 1.49|  0 1.0   0|   0     0 |   0     0 | 25  436    0  162    3
Aug 05 01:54:15 ubuntu dstat.sh[106609]: 05-08 01:54:15|  3   1  70  24   0|6013M  266M  842M  778M|  14k 6193 |   0     0 |   0     0 |1715  2757 |1.07 1.44 1.49|2.0 1.0   0|   0     0 |   0     0 | 25  437    0  158    3
Aug 05 01:54:16 ubuntu dstat.sh[106609]: 05-08 01:54:16|  4   1  70  23   0|6013M  266M  842M  778M|  22k   13k|   0    76k|   0  8.99 |1822  2988 |1.07 1.44 1.49|  0 1.0   0|   0     0 |   0     0 | 25  436    0  158    3
Aug 05 01:54:17 ubuntu dstat.sh[106609]: 05-08 01:54:17|  6   1  67  23   0|6013M  266M  842M  778M|  47k   30k|   0   368k|   0  42.0 |2297  3733 |1.07 1.44 1.49|1.0 1.0   0|   0     0 |   0     0 | 25  436    0  156    3
Aug 05 01:54:18 ubuntu dstat.sh[106609]: 05-08 01:54:18|  4   2  69  24   0|6013M  266M  842M  778M|  24k   16k|   0   240k|   0  20.0 |1974  3230 |1.07 1.44 1.49|  0 1.0   0|   0     0 |   0     0 | 25  436    0  156    3
Aug 05 01:54:19 ubuntu dstat.sh[106609]: 05-08 01:54:19|  4   1  69  24   0|6013M  266M  842M  779M|  30k   20k|   0   260k|   0  25.0 |2101  3405 |1.06 1.43 1.49|  0 1.0   0|   0     0 |   0     0 | 25  436    0  152    3
Aug 05 01:54:20 ubuntu dstat.sh[106609]: 05-08 01:54:20|  5   1  69  23   0|6013M  266M  842M  779M|  29k   21k|4094B 1111k|1.00  39.0 |1926  2908 |1.06 1.43 1.49|1.0 1.0   0|   0     0 |   0     0 | 25  436    0  155    3
Aug 05 01:54:21 ubuntu dstat.sh[106609]: 05-08 01:54:21|  5   2  69  24   0|6013M  266M  842M  779M|  33k   26k|   0   257k|   0  20.1 |1899  3022 |1.06 1.43 1.49|  0 1.0   0|   0     0 |   0     0 | 25  436    0  148    3
Aug 05 01:54:22 ubuntu dstat.sh[106609]: 05-08 01:54:22|  7   2  65  24   0|6014M  265M  842M  779M|  41k   32k|8172B 1197k|2.00   102 |2541  3865 |1.06 1.43 1.49|  0 1.0   0|   0     0 |   0     0 | 25  435    0  152    3
Aug 05 01:54:23 ubuntu dstat.sh[106609]: 05-08 01:54:23|  5   2  67  25   0|6015M  264M  842M  779M|  34k   25k|   0   332k|   0  32.0 |2301  3671 |1.06 1.43 1.49|2.0 1.0 2.0|   0     0 |   0     0 | 25  435    0  147    3
Aug 05 01:54:24 ubuntu dstat.sh[106609]: 05-08 01:54:24|  6   1  67  23   0|6019M  260M  842M  779M|  33k   26k|   0   344k|   0  30.0 |2212  3491 |1.06 1.42 1.48|1.0 1.0   0|   0     0 |   0     0 | 25  436    0  148    3
Aug 05 01:54:25 ubuntu dstat.sh[106609]: 05-08 01:54:25| 27   3  67   5   0|5984M  281M  856M  779M|  17M  425k|  14M  300k|15.0  22.0 |8145  3440 |1.06 1.42 1.48|1.0   0   0|   0     0 |   0     0 | 25  434    0  147    3
Aug 05 01:54:26 ubuntu dstat.sh[106609]: 05-08 01:54:26| 27   5  61   7   0|5970M  255M  896M  779M|  45M  930k|  43M  241k|37.1  19.0 |  23k 3559 |1.06 1.42 1.48|2.0   0   0|   0     0 |   0     0 | 25  432    0  149    5
Aug 05 01:54:27 ubuntu dstat.sh[106609]: 05-08 01:54:27| 25   3  58   9   0|5970M  205M  946M  779M|  55M 1324k|  50M  291k|39.9  32.9 |  31k 4262 |1.06 1.42 1.48|1.0   0   0|   0     0 |   0     0 | 25  432    0  142    5
Aug 05 01:54:28 ubuntu dstat.sh[106609]: 05-08 01:54:28| 23   3  62   7   0|5968M  179M  983M  771M|  55M 1344k|  50M  753k|43.0  59.1 |  42k 4220 |1.06 1.42 1.48|3.0   0   0|   0     0 |   0     0 | 25  432    0  144    5
Aug 05 01:54:29 ubuntu dstat.sh[106609]: 05-08 01:54:29| 22   4  64   9   0|6014M  126M 1001M  759M|  48M  863k|  44M  684k|40.0  56.0 |  24k 4122 |1.13 1.43 1.49|  0 1.0   0|   0     0 |   0     0 | 25  432    0  145    5
Aug 05 01:54:30 ubuntu dstat.sh[106609]: 05-08 01:54:30| 24   2  69   4   0|5969M  165M 1008M  759M|7083k  259k|6411k  324k|8.00  22.0 |5117  3206 |1.13 1.43 1.49|1.0 1.0   0|   0     0 |   0     0 | 25  432    0  147    5
