-- Logs begin at Tue 2023-01-10 23:34:18 UTC, end at Wed 2023-01-11 20:21:55 UTC. --
Jan 11 19:41:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 11 19:41:29 ubuntu dstat.sh[90415]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 11 19:41:29 ubuntu dstat.sh[90415]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 11 20:01:21 ubuntu dstat.sh[90415]: 11-01 20:01:21| 28   3  66   1   0|6072M  261M  155M 1412M| 476k  467k|   0  1020k|   0   132 |5267    10k|1.46 1.88 1.54|1.0   0   0|   0     0 |   0     0 | 25  407    0   73    1
Jan 11 20:01:22 ubuntu dstat.sh[90415]: 11-01 20:01:22| 19   4  76   2   0|6072M  261M  155M 1412M| 364k  356k|   0  1537k|   0   232 |4295  7631 |1.46 1.88 1.54|  0   0   0|   0     0 |   0     0 | 25  406    0   72    1
Jan 11 20:01:23 ubuntu dstat.sh[90415]: 11-01 20:01:23| 14   3  80   3   0|6072M  261M  155M 1412M| 262k  255k|   0   852k|   0   102 |3576  6164 |1.34 1.85 1.53|1.0   0   0|   0     0 |   0     0 | 25  407    0   72    1
Jan 11 20:01:24 ubuntu dstat.sh[90415]: 11-01 20:01:24| 12   3  82   2   0|6073M  260M  155M 1412M| 164k  157k|   0  1275k|   0   185 |3857  6702 |1.34 1.85 1.53|  0   0   0|   0     0 |   0     0 | 25  406    0   67    1
Jan 11 20:01:25 ubuntu dstat.sh[90415]: 11-01 20:01:25| 22   4  70   4   0|6073M  260M  155M 1412M| 419k  410k|   0  1136k|   0   151 |4708  8707 |1.34 1.85 1.53|1.0 1.0   0|   0     0 |   0     0 | 25  408    0   67    1
Jan 11 20:01:26 ubuntu dstat.sh[90415]: 11-01 20:01:26| 28   4  63   5   0|6073M  260M  155M 1412M| 569k  550k|   0  1749k|   0   252 |5565  9900 |1.34 1.85 1.53|2.0   0   0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:01:27 ubuntu dstat.sh[90415]: 11-01 20:01:27| 27   4  66   2   0|6073M  259M  155M 1413M| 532k  526k|   0  1095k|   0   139 |5309    10k|1.34 1.85 1.53|1.0   0   0|   0     0 |   0     0 | 25  407    0   69    1
Jan 11 20:01:28 ubuntu dstat.sh[90415]: 11-01 20:01:28| 28   4  66   1   0|6074M  257M  155M 1413M| 479k  470k|   0   819k|   0  97.9 |4414  8029 |1.32 1.84 1.53|1.0   0   0|   0     0 |   0     0 | 25  408    0   69    1
Jan 11 20:01:29 ubuntu dstat.sh[90415]: 11-01 20:01:29| 30   4  62   3   0|6074M  257M  155M 1413M| 501k  496k|   0  1549k|   0   239 |5441  9749 |1.32 1.84 1.53|1.0   0   0|   0     0 |   0     0 | 25  408    0   70    1
Jan 11 20:01:30 ubuntu dstat.sh[90415]: 11-01 20:01:30| 26   5  65   2   0|6076M  256M  155M 1413M| 486k  481k|   0  1101k|   0   157 |5556    10k|1.32 1.84 1.53|1.0   0 2.0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:01:31 ubuntu dstat.sh[90415]: 11-01 20:01:31| 27   5  66   1   0|6076M  255M  155M 1414M| 526k  519k|  88k  855k|1.00   112 |5320  9827 |1.32 1.84 1.53|1.0   0   0|   0     0 |   0     0 | 25  409    0   72    1
Jan 11 20:01:32 ubuntu dstat.sh[90415]: 11-01 20:01:32| 25   4  60  10   0|6076M  254M  155M 1414M| 440k  431k|   0    13M|   0  1564 |7959  9887 |1.32 1.84 1.53|1.0 1.0   0|   0     0 |   0     0 | 25  408    0   74    2
Jan 11 20:01:33 ubuntu dstat.sh[90415]: 11-01 20:01:33| 28   4  66   1   0|6077M  254M  155M 1414M| 507k  497k|   0  1105k|   0   136 |4915  9437 |1.29 1.82 1.53|1.0   0   0|   0     0 |   0     0 | 25  407    0   72    1
Jan 11 20:01:34 ubuntu dstat.sh[90415]: 11-01 20:01:34| 27   4  65   3   0|6078M  252M  155M 1414M| 577k  570k|   0  1404k|   0   200 |5902    11k|1.29 1.82 1.53|1.0   0   0|   0     0 |   0     0 | 25  407    0   72    1
Jan 11 20:01:35 ubuntu dstat.sh[90415]: 11-01 20:01:35| 26   4  66   3   0|6078M  251M  155M 1415M| 475k  467k|   0  1216k|   0   179 |5348    10k|1.29 1.82 1.53|  0 1.0   0|   0     0 |   0     0 | 25  408    0   68    1
Jan 11 20:01:36 ubuntu dstat.sh[90415]: 11-01 20:01:36| 28   3  64   3   0|6079M  250M  155M 1415M| 454k  446k|   0  1267k|   0   184 |4748  8682 |1.29 1.82 1.53|3.0   0   0|   0     0 |   0     0 | 25  408    0   71    1
Jan 11 20:01:37 ubuntu dstat.sh[90415]: 11-01 20:01:37| 28   4  65   2   0|6079M  249M  155M 1416M| 455k  450k|   0  1448k|   0   123 |4994  9148 |1.29 1.82 1.53|2.0   0   0|   0     0 |   0     0 | 25  407    0   69    1
Jan 11 20:01:38 ubuntu dstat.sh[90415]: 11-01 20:01:38| 29   6  61   1   0|6079M  249M  155M 1416M| 562k  555k| 108k 1176k|4.00   129 |5491    10k|1.27 1.81 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   69    1
Jan 11 20:01:39 ubuntu dstat.sh[90415]: 11-01 20:01:39| 28   4  64   4   1|6079M  249M  155M 1416M| 544k  529k|   0  1549k|   0   230 |5176  9467 |1.27 1.81 1.52|1.0 1.0   0|   0     0 |   0     0 | 25  406    0   68    1
Jan 11 20:01:40 ubuntu dstat.sh[90415]: 11-01 20:01:40|  9   2  88   0   0|6080M  248M  155M 1416M|  89k   83k|   0   443k|   0  51.9 |2501  4299 |1.27 1.81 1.52|2.0   0 2.0|   0     0 |   0     0 | 25  406    0   68    1
Jan 11 20:01:41 ubuntu dstat.sh[90415]: 11-01 20:01:41| 13   3  80   3   0|6080M  248M  156M 1416M| 222k  208k|   0   861k|   0   114 |3484  5835 |1.27 1.81 1.52|1.0   0   0|   0     0 |   0     0 | 25  406    0   68    1
Jan 11 20:01:42 ubuntu dstat.sh[90415]: 11-01 20:01:42| 17   2  75   4   0|6080M  247M  156M 1416M| 332k  326k|   0  1149k|   0   145 |4182  7092 |1.27 1.81 1.52|1.0   0   0|   0     0 |   0     0 | 25  406    0   70    1
Jan 11 20:01:43 ubuntu dstat.sh[90415]: 11-01 20:01:43| 16   3  79   1   0|6080M  247M  156M 1417M| 313k  306k|   0   982k|   0   149 |3746  6671 |1.16 1.78 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   68    1
Jan 11 20:01:44 ubuntu dstat.sh[90415]: 11-01 20:01:44| 21   2  70   5   0|6080M  247M  156M 1417M| 386k  372k|  80k 1549k|1.00   231 |4860  8334 |1.16 1.78 1.52|  0   0   0|   0     0 |   0     0 | 25  407    0   68    1
Jan 11 20:01:45 ubuntu dstat.sh[90415]: 11-01 20:01:45| 14   3  79   3   0|6080M  247M  156M 1417M| 256k  249k|4101B  965k|1.00   139 |3770  6198 |1.16 1.78 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   67    1
Jan 11 20:01:46 ubuntu dstat.sh[90415]: 11-01 20:01:46| 28   3  65   3   0|6080M  246M  156M 1417M| 438k  431k|   0  1188k|   0   169 |4825  9083 |1.16 1.78 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   69    1
Jan 11 20:01:47 ubuntu dstat.sh[90415]: 11-01 20:01:47| 29   4  64   3   0|6080M  246M  156M 1417M| 463k  457k|   0  1553k|   0   235 |5674    10k|1.16 1.78 1.52|2.0   0   0|   0     0 |   0     0 | 25  408    0   68    1
Jan 11 20:01:48 ubuntu dstat.sh[90415]: 11-01 20:01:48| 28   4  63   3   0|6080M  246M  156M 1418M| 499k  493k|   0  1451k|   0   193 |5438  9635 |1.15 1.77 1.51|1.0   0   0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:01:49 ubuntu dstat.sh[90415]: 11-01 20:01:49| 28   4  65   1   0|6082M  244M  156M 1418M| 514k  506k|   0   988k|   0   118 |5403  9832 |1.15 1.77 1.51|1.0   0   0|   0     0 |   0     0 | 25  408    0   71    1
Jan 11 20:01:50 ubuntu dstat.sh[90415]: 11-01 20:01:50| 16   3  77   1   0|6082M  244M  156M 1418M| 322k  307k|   0   989k|   0   156 |4020  7069 |1.15 1.77 1.51|  0   0 2.0|   0     0 |   0     0 | 25  406    0   73    1
Jan 11 20:01:51 ubuntu dstat.sh[90415]: 11-01 20:01:51| 17   3  75   2   0|6083M  242M  156M 1418M| 302k  296k|8182B  695k|1.00  83.9 |3551  6074 |1.15 1.77 1.51|2.0   0   0|   0     0 |   0     0 | 25  407    0   69    1
Jan 11 20:01:52 ubuntu dstat.sh[90415]: 11-01 20:01:52| 15   3  79   2   0|6083M  242M  156M 1418M| 268k  254k|   0   985k|   0   141 |3962  6652 |1.15 1.77 1.51|  0   0   0|   0     0 |   0     0 | 25  406    0   70    1
Jan 11 20:01:53 ubuntu dstat.sh[90415]: 11-01 20:01:53| 21   3  72   3   0|6084M  242M  156M 1419M| 339k  331k|   0  1204k|   0   168 |4473  7903 |1.06 1.74 1.51|1.0   0   0|   0     0 |   0     0 | 25  408    0   70    1
Jan 11 20:01:54 ubuntu dstat.sh[90415]: 11-01 20:01:54| 31   4  60   3   0|6083M  241M  156M 1419M| 546k  536k|   0  1620k|   0   244 |5613  9673 |1.06 1.74 1.51|1.0   0   0|   0     0 |   0     0 | 25  407    0   75    1
Jan 11 20:01:55 ubuntu dstat.sh[90415]: 11-01 20:01:55| 25   5  66   2   0|6084M  241M  156M 1419M| 468k  460k|   0  1017k|   0   127 |5498  9775 |1.06 1.74 1.51|1.0   0   0|   0     0 |   0     0 | 25  407    0   75    1
Jan 11 20:01:56 ubuntu dstat.sh[90415]: 11-01 20:01:56| 28   3  65   2   0|6085M  239M  156M 1419M| 545k  540k|   0  1203k|   0   167 |5517  9938 |1.06 1.74 1.51|1.0   0   0|   0     0 |   0     0 | 25  406    0   78    1
Jan 11 20:01:57 ubuntu dstat.sh[90415]: 11-01 20:01:57|  7   2  88   2   0|6085M  239M  156M 1419M| 109k  102k|   0   484k|   0  65.0 |2858  4797 |1.06 1.74 1.51|1.0   0   0|   0     0 |   0     0 | 25  407    0   74    1
Jan 11 20:01:58 ubuntu dstat.sh[90415]: 11-01 20:01:58| 21   4  71   4   1|6085M  238M  156M 1420M| 399k  385k|   0  1104k|   0   137 |4868  9188 |1.54 1.82 1.54|  0   0   0|   0     0 |   0     0 | 25  406    0   74    1
Jan 11 20:01:59 ubuntu dstat.sh[90415]: 11-01 20:01:59| 15   3  79   1   0|6086M  238M  156M 1420M| 272k  249k|   0   894k|   0   130 |3618  6196 |1.54 1.82 1.54|  0   0   0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:02:00 ubuntu dstat.sh[90415]: 11-01 20:02:00| 13   2  84   1   0|6086M  237M  156M 1420M| 223k  203k|   0   517k|   0  54.1 |3180  5253 |1.54 1.82 1.54|1.0   0 2.0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:02:01 ubuntu dstat.sh[90415]: 11-01 20:02:01| 32   4  60   3   0|6086M  237M  156M 1420M| 567k  552k|   0  1864k|   0   276 |5956    11k|1.54 1.82 1.54|  0 1.0   0|   0     0 |   0     0 | 25  408    0   69    1
Jan 11 20:02:02 ubuntu dstat.sh[90415]: 11-01 20:02:02| 31   5  61   3   0|6087M  236M  156M 1420M| 486k  471k|4087B 1313k|1.00   167 |5177  9350 |1.54 1.82 1.54|5.0   0   0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:02:03 ubuntu dstat.sh[90415]: 11-01 20:02:03| 23   4  59  11   0|6088M  235M  156M 1420M| 474k  466k|   0    13M|   0  1531 |8097  9825 |1.41 1.79 1.53|2.0   0   0|   0     0 |   0     0 | 25  407    0   67    1
Jan 11 20:02:04 ubuntu dstat.sh[90415]: 11-01 20:02:04| 21   4  73   2   0|6088M  234M  156M 1421M| 384k  377k|   0  1253k|   0   181 |4337  7854 |1.41 1.79 1.53|  0   0   0|   0     0 |   0     0 | 25  406    0   69    1
Jan 11 20:02:05 ubuntu dstat.sh[90415]: 11-01 20:02:05| 12   2  85   1   0|6088M  234M  156M 1421M| 218k  212k|   0   508k|   0  57.0 |2716  4492 |1.41 1.79 1.53|1.0   0   0|   0     0 |   0     0 | 25  406    0   67    1
Jan 11 20:02:06 ubuntu dstat.sh[90415]: 11-01 20:02:06| 13   3  80   2   1|6088M  234M  157M 1421M| 179k  167k|   0   903k|   0   106 |3448  6175 |1.41 1.79 1.53|1.0   0   0|   0     0 |   0     0 | 25  407    0   67    1
Jan 11 20:02:07 ubuntu dstat.sh[90415]: 11-01 20:02:07| 30   5  62   3   0|6089M  225M  157M 1428M| 501k  494k|  20k 3500k|4.00   528 |6060    10k|1.41 1.79 1.53|  0 2.0 3.0|   0     0 |   0     0 | 25  408    0   68    1
Jan 11 20:02:08 ubuntu dstat.sh[90415]: 11-01 20:02:08| 30   7  57   4   0|6099M  215M  157M 1429M| 455k  447k|   0  2672k|   0   283 |5281  9185 |1.38 1.78 1.52|2.0   0 4.0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:02:09 ubuntu dstat.sh[90415]: 11-01 20:02:09| 29   3  65   1   0|6099M  214M  157M 1429M| 499k  493k|   0   944k|   0   122 |5211    10k|1.38 1.78 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   74    1
Jan 11 20:02:10 ubuntu dstat.sh[90415]: 11-01 20:02:10| 32   5  59   2   0|6093M  220M  157M 1429M| 511k  492k|   0  1246k|   0   162 |4898  9084 |1.38 1.78 1.52|4.0   0 1.0|   0     0 |   0     0 | 25  407    0   76    1
Jan 11 20:02:11 ubuntu dstat.sh[90415]: 11-01 20:02:11| 28   3  64   2   0|6094M  220M  157M 1429M| 511k  503k|   0  1507k|   0   208 |5398    10k|1.38 1.78 1.52|1.0   0 1.0|   0     0 |   0     0 | 25  407    0   78    1
Jan 11 20:02:12 ubuntu dstat.sh[90415]: 11-01 20:02:12| 27   4  67   1   0|6093M  220M  157M 1430M| 457k  450k|   0   899k|   0   106 |4491  9437 |1.38 1.78 1.52|2.0   0   0|   0     0 |   0     0 | 25  408    0   78    1
Jan 11 20:02:13 ubuntu dstat.sh[90415]: 11-01 20:02:13| 26   6  63   4   0|6094M  219M  157M 1430M| 446k  437k|   0  1259k|   0   188 |5330    13k|1.51 1.80 1.53|  0 1.0  35|   0     0 |   0     0 | 25  408    0   81    1
Jan 11 20:02:14 ubuntu dstat.sh[90415]: 11-01 20:02:14| 14   2  80   2   0|6094M  219M  157M 1430M| 257k  251k|   0  1100k|   0   187 |3981  6691 |1.51 1.80 1.53|  0   0   0|   0     0 |   0     0 | 25  406    0   80    1
Jan 11 20:02:15 ubuntu dstat.sh[90415]: 11-01 20:02:15|  8   2  88   1   0|6094M  219M  157M 1430M| 111k  104k|   0   348k|   0  32.0 |2553  3913 |1.51 1.80 1.53|2.0   0   0|   0     0 |   0     0 | 25  407    0   81    1
Jan 11 20:02:16 ubuntu dstat.sh[90415]: 11-01 20:02:16| 13   2  83   1   0|6094M  218M  157M 1430M| 271k  264k|4094B  752k|1.00   107 |3379  5900 |1.51 1.80 1.53|  0   0   0|   0     0 |   0     0 | 25  406    0   80    1
Jan 11 20:02:17 ubuntu dstat.sh[90415]: 11-01 20:02:17| 13   1  81   2   0|6094M  218M  157M 1430M| 204k  190k| 348k  817k|8.01   110 |3647  6189 |1.51 1.80 1.53|  0   0   0|   0     0 |   0     0 | 25  406    0   80    1
Jan 11 20:02:18 ubuntu dstat.sh[90415]: 11-01 20:02:18| 16   3  77   3   0|6094M  218M  157M 1431M| 321k  315k|   0   993k|   0   135 |4327  7696 |1.39 1.77 1.52|1.0 1.0   0|   0     0 |   0     0 | 25  408    0   80    1
Jan 11 20:02:19 ubuntu dstat.sh[90415]: 11-01 20:02:19| 27   3  62   5   0|6094M  217M  157M 1431M| 477k  471k|   0  1686k|   0   245 |5511  9858 |1.39 1.77 1.52|2.0   0 1.0|   0     0 |   0     0 | 25  408    0   83    1
Jan 11 20:02:20 ubuntu dstat.sh[90415]: 11-01 20:02:20| 28   5  64   3   0|6095M  216M  157M 1431M| 514k  507k|   0  1184k|   0   148 |5844    11k|1.39 1.77 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   82    1
Jan 11 20:02:21 ubuntu dstat.sh[90415]: 11-01 20:02:21| 28   4  66   2   0|6096M  215M  157M 1432M| 581k  574k|   0   992k|   0   123 |5541    10k|1.39 1.77 1.52|1.0   0 2.0|   0     0 |   0     0 | 25  407    0   82    1
Jan 11 20:02:22 ubuntu dstat.sh[90415]: 11-01 20:02:22| 16   2  77   2   0|6096M  214M  157M 1432M| 302k  285k|   0  1320k|   0   185 |4078  7115 |1.39 1.77 1.52|1.0   0   0|   0     0 |   0     0 | 25  406    0   79    1
Jan 11 20:02:23 ubuntu dstat.sh[90415]: 11-01 20:02:23| 13   2  83   2   0|6096M  214M  157M 1432M| 203k  189k|   0   784k|   0   101 |3305  5620 |1.28 1.74 1.52|1.0   0   0|   0     0 |   0     0 | 25  407    0   79    1
Jan 11 20:02:24 ubuntu dstat.sh[90415]: 11-01 20:02:24| 19   3  74   3   0|6096M  214M  157M 1432M| 318k  294k|   0  1321k|   0   170 |4501  7603 |1.28 1.74 1.52|3.0   0   0|   0     0 |   0     0 | 25  407    0   76    1
Jan 11 20:02:25 ubuntu dstat.sh[90415]: 11-01 20:02:25| 27   3  62   4   0|6096M  213M  157M 1432M| 529k  517k|   0  1727k|   0   244 |5780    10k|1.28 1.74 1.52|4.0   0   0|   0     0 |   0     0 | 25  408    0   79    1
Jan 11 20:02:26 ubuntu dstat.sh[90415]: 11-01 20:02:26| 28   4  63   4   0|6096M  213M  157M 1432M| 565k  554k|   0  1505k|   0   201 |5418  9799 |1.28 1.74 1.52|2.0 1.0   0|   0     0 |   0     0 | 25  407    0   81    1
Jan 11 20:02:27 ubuntu dstat.sh[90415]: 11-01 20:02:27| 27   4  67   2   0|6098M  212M  157M 1433M| 485k  478k|   0  1056k|   0   131 |5377    10k|1.28 1.74 1.52|2.0 1.0   0|   0     0 |   0     0 | 25  407    0   81    1
Jan 11 20:02:28 ubuntu dstat.sh[90415]: 11-01 20:02:28| 25   4  66   4   0|6098M  211M  157M 1433M| 601k  591k|   0  1321k|   0   178 |5332  9909 |1.17 1.71 1.51|2.0   0   0|   0     0 |   0     0 | 25  407    0   80    1
Jan 11 20:02:29 ubuntu dstat.sh[90415]: 11-01 20:02:29|  9   2  86   2   0|6098M  211M  157M 1433M| 138k  129k|   0   797k|   0  95.1 |3060  5283 |1.17 1.71 1.51|2.0   0   0|   0     0 |   0     0 | 25  407    0   80    1
Jan 11 20:02:30 ubuntu dstat.sh[90415]: 11-01 20:02:30| 10   2  87   1   0|6098M  210M  157M 1433M| 179k  167k|   0   457k|   0  59.1 |2710  4664 |1.17 1.71 1.51|  0   0   0|   0     0 |   0     0 | 25  406    0   75    1
Jan 11 20:02:31 ubuntu dstat.sh[90415]: 11-01 20:02:31| 14   3  80   2   0|6098M  210M  157M 1433M| 262k  248k|   0   840k|   0   110 |3533  5974 |1.17 1.71 1.51|  0   0 2.0|   0     0 |   0     0 | 25  406    0   76    1
Jan 11 20:02:32 ubuntu dstat.sh[90415]: 11-01 20:02:32| 19   3  75   1   0|6099M  209M  158M 1433M| 378k  372k|   0  1031k|   0   121 |3934  6851 |1.17 1.71 1.51|1.0   0   0|   0     0 |   0     0 | 25  407    0   71    1
Jan 11 20:02:33 ubuntu dstat.sh[90415]: 11-01 20:02:33| 26   4  64   4   1|6099M  209M  158M 1434M| 558k  552k|   0  1422k|   0   195 |5237  9497 |1.16 1.70 1.50|1.0   0   0|   0     0 |   0     0 | 25  408    0   72    1
Jan 11 20:02:34 ubuntu dstat.sh[90415]: 11-01 20:02:34| 28   4  61   4   0|6099M  209M  158M 1434M| 490k  483k|   0  3343k|   0   313 |6001    11k|1.16 1.70 1.50|1.0   0   0|   0     0 |   0     0 | 25  407    0   73    1
Jan 11 20:02:35 ubuntu dstat.sh[90415]: 11-01 20:02:35| 26   4  66   3   0|6100M  207M  158M 1434M| 562k  547k|   0  1077k|   0   127 |5550    10k|1.16 1.70 1.50|1.0   0   0|   0     0 |   0     0 | 25  407    0   73    1
Jan 11 20:02:36 ubuntu dstat.sh[90415]: 11-01 20:02:36| 27   4  68   2   0|6102M  206M  158M 1435M| 611k  602k|   0  1077k|   0   143 |5011  9105 |1.16 1.70 1.50|1.0   0   0|   0     0 |   0     0 | 25  409    0   70    1
Jan 11 20:02:37 ubuntu dstat.sh[90415]: 11-01 20:02:37| 29   3  64   2   0|6101M  206M  158M 1435M| 569k  563k|   0  1363k|   0   202 |4953  9465 |1.16 1.70 1.50|1.0 1.0   0|   0     0 |   0     0 | 25  408    0   73    1
Jan 11 20:02:38 ubuntu dstat.sh[90415]: 11-01 20:02:38| 25   4  66   3   0|6102M  204M  158M 1435M| 492k  485k|   0  1189k|   0   159 |5604    10k|1.23 1.70 1.51|3.0   0   0|   0     0 |   0     0 | 25  407    0   73    1
Jan 11 20:02:39 ubuntu dstat.sh[90415]: 11-01 20:02:39| 29   6  61   2   0|6103M  204M  158M 1435M| 563k  557k|   0    12M|   0   124 |5042  8964 |1.23 1.70 1.51|4.0   0   0|   0     0 |   0     0 | 25  407    0   73    1
Jan 11 20:02:40 ubuntu dstat.sh[90415]: 11-01 20:02:40| 30   4  64   2   1|6102M  203M  158M 1436M| 490k  482k|   0  1300k|   0   168 |5085  9484 |1.23 1.70 1.51|2.0   0   0|   0     0 |   0     0 | 25  407    0   75    1
Jan 11 20:02:41 ubuntu dstat.sh[90415]: 11-01 20:02:41| 28   4  62   3   0|6102M  203M  158M 1436M| 546k  534k|   0  1771k|   0   229 |6159    11k|1.23 1.70 1.51|1.0   0 2.0|   0     0 |   0     0 | 25  406    0   77    1
Jan 11 20:02:42 ubuntu dstat.sh[90415]: 11-01 20:02:42| 26   5  66   3   0|6103M  202M  158M 1436M| 480k  474k|   0   970k|   0   106 |5034  9528 |1.23 1.70 1.51|2.0   0   0|   0     0 |   0     0 | 25  407    0   75    1
Jan 11 20:02:43 ubuntu dstat.sh[90415]: 11-01 20:02:43| 24   4  67   2   0|6103M  202M  158M 1436M| 391k  384k|   0   995k|   0   111 |4438  8060 |1.13 1.68 1.50|1.0   0   0|   0     0 |   0     0 | 25  409    0   75    1
Jan 11 20:02:44 ubuntu dstat.sh[90415]: 11-01 20:02:44| 30   5  62   3   0|6104M  201M  158M 1437M| 555k  550k|   0  1728k|   0   227 |5436  9836 |1.13 1.68 1.50|1.0   0   0|   0     0 |   0     0 | 25  408    0   78    1
Jan 11 20:02:45 ubuntu dstat.sh[90415]: 11-01 20:02:45| 27   4  65   3   0|6104M  201M  158M 1437M| 463k  458k|   0  1056k|   0   128 |5019  9652 |1.13 1.68 1.50|1.0   0   0|   0     0 |   0     0 | 25  408    0   81    1
Jan 11 20:02:46 ubuntu dstat.sh[90415]: 11-01 20:02:46| 29   2  62   5   1|6104M  200M  158M 1437M| 414k  408k|4098B 1753k|1.00   237 |4451  8095 |1.13 1.68 1.50|1.0   0   0|   0     0 |   0     0 | 25  410    0   79    1
Jan 11 20:02:47 ubuntu dstat.sh[90415]: 11-01 20:02:47| 28   4  63   5   0|6104M  200M  158M 1437M| 464k  459k|   0  1804k|   0   226 |5142  9760 |1.13 1.68 1.50|1.0   0   0|   0     0 |   0     0 | 25  410    0   80    1
Jan 11 20:02:48 ubuntu dstat.sh[90415]: 11-01 20:02:48| 29   3  63   4   1|6106M  197M  158M 1437M| 565k  558k|   0  1641k|   0   216 |5017  8973 |1.12 1.66 1.50|1.0   0   0|   0     0 |   0     0 | 25  411    0   77    1
Jan 11 20:02:49 ubuntu dstat.sh[90415]: 11-01 20:02:49| 32   4  63   2   0|6106M  197M  158M 1438M| 644k  639k|   0   921k|   0  88.1 |4207  7523 |1.12 1.66 1.50|1.0 1.0   0|   0     0 |   0     0 | 25  413    0   82    0
Jan 11 20:02:50 ubuntu dstat.sh[90415]: 11-01 20:02:50| 32   5  57   4   0|6110M  193M  158M 1438M| 723k  717k|   0  2196k|   0   302 |6083    11k|1.12 1.66 1.50|2.0   0 1.0|   0     0 |   0     0 | 25  412    0   83    0
Jan 11 20:02:51 ubuntu dstat.sh[90415]: 11-01 20:02:51| 36   5  54   2   0|6109M  194M  158M 1439M| 569k  563k|   0  1627k|   0   168 |4458  7751 |1.12 1.66 1.50|3.0   0  16|   0     0 |   0     0 | 25  414    0   80    0
Jan 11 20:02:52 ubuntu dstat.sh[90415]: 11-01 20:02:52| 34   3  59   3   0|6109M  193M  158M 1439M| 640k  634k|   0  1079k|   0   116 |4252  7176 |1.12 1.66 1.50|5.0   0   0|   0     0 |   0     0 | 25  413    0   80    0
Jan 11 20:02:53 ubuntu dstat.sh[90415]: 11-01 20:02:53| 39   5  55   1   0|6116M  187M  158M 1439M| 364k  360k|   0   744k|   0  51.0 |3052  4773 |1.27 1.69 1.50|5.0   0  17|   0     0 |   0     0 | 25  413    0   79    0
Jan 11 20:02:54 ubuntu dstat.sh[90415]: 11-01 20:02:54| 34  10  47   6   0|6133M  166M  158M 1443M| 463k  456k|3353k 1127k| 130   105 |5620  9365 |1.27 1.69 1.50|1.0   0  26|   0     0 |   0     0 | 26  413    0   80    0
Jan 11 20:02:55 ubuntu dstat.sh[90415]: 11-01 20:02:55| 31  11  55   2   0|6141M  157M  158M 1443M| 418k  411k|3100k  953k| 135   100 |6683    11k|1.27 1.69 1.50|2.0   0   0|   0     0 |   0     0 | 26  413    0   75    0
Jan 11 20:02:56 ubuntu dstat.sh[90415]: 11-01 20:02:56| 34   5  56   4   0|6186M  126M  158M 1429M| 216k  208k|  16M  548k| 557  41.0 |5811    11k|1.27 1.69 1.50|3.0   0   0|   0     0 |   0     0 | 26  414    0   75    0
Jan 11 20:02:57 ubuntu dstat.sh[90415]: 11-01 20:02:57| 36   4  57   3   0|6218M  122M  157M 1403M| 219k  210k|   0  1280k|   0   180 |3905  5976 |1.27 1.69 1.50|1.0   0   0|   0     0 |   0     0 | 26  413    0   72    0
Jan 11 20:02:58 ubuntu dstat.sh[90415]: 11-01 20:02:58| 46   4  49   2   0|6233M  124M  157M 1387M| 499k  489k|   0  1029k|   0   115 |4660  8115 |1.41 1.71 1.51|1.0   0   0|   0     0 |   0     0 | 26  415    0   72    0
Jan 11 20:02:59 ubuntu dstat.sh[90415]: 11-01 20:02:59| 43   6  46   3   0|6252M  124M  157M 1369M| 437k  365k|   0  1390k|   0   161 |5620    10k|1.41 1.71 1.51|1.0   0   0|   0     0 |   0     0 | 26  414    0   72    0
Jan 11 20:03:00 ubuntu dstat.sh[90415]: 11-01 20:03:00| 54   6  38   1   0|6121M  268M  157M 1357M| 747k  735k| 168k 1492k|2.00   170 |5133  9330 |1.41 1.71 1.51|1.0   0 8.0|   0     0 |   0     0 | 25  414    0   72    0
Jan 11 20:03:01 ubuntu dstat.sh[90415]: 11-01 20:03:01| 43   7  46   2   0|6120M  269M  157M 1357M| 718k  706k| 176k 1556k|5.00   165 |5714    11k|1.41 1.71 1.51|4.0   0  21|   0     0 |   0     0 | 25  414    0   72    0
